row,date,avgCO2
1,Mar-1958,315.7
2,Apr-1958,317.45
3,May-1958,317.51
4,Jun-1958,317.24
5,Jul-1958,315.86
6,Aug-1958,314.93
7,Sep-1958,313.2
8,Oct-1958,312.43
9,Nov-1958,313.33
10,Dec-1958,314.67
11,Jan-1959,315.58
12,Feb-1959,316.48
13,Mar-1959,316.65
14,Apr-1959,317.72
15,May-1959,318.29
16,Jun-1959,318.15
17,Jul-1959,316.54
18,Aug-1959,314.8
19,Sep-1959,313.84
20,Oct-1959,313.33
21,Nov-1959,314.81
22,Dec-1959,315.58
23,Jan-1960,316.43
24,Feb-1960,316.98
25,Mar-1960,317.58
26,Apr-1960,319.03
27,May-1960,320.04
28,Jun-1960,319.59
29,Jul-1960,318.18
30,Aug-1960,315.9
31,Sep-1960,314.17
32,Oct-1960,313.83
33,Nov-1960,315
34,Dec-1960,316.19
35,Jan-1961,316.89
36,Feb-1961,317.7
37,Mar-1961,318.54
38,Apr-1961,319.48
39,May-1961,320.58
40,Jun-1961,319.77
41,Jul-1961,318.57
42,Aug-1961,316.79
43,Sep-1961,314.99
44,Oct-1961,315.31
45,Nov-1961,316.1
46,Dec-1961,317.01
47,Jan-1962,317.94
48,Feb-1962,318.55
49,Mar-1962,319.68
50,Apr-1962,320.57
51,May-1962,321.02
52,Jun-1962,320.62
53,Jul-1962,319.61
54,Aug-1962,317.4
55,Sep-1962,316.25
56,Oct-1962,315.42
57,Nov-1962,316.69
58,Dec-1962,317.7
59,Jan-1963,318.74
60,Feb-1963,319.07
61,Mar-1963,319.86
62,Apr-1963,321.38
63,May-1963,322.25
64,Jun-1963,321.48
65,Jul-1963,319.74
66,Aug-1963,317.77
67,Sep-1963,316.21
68,Oct-1963,315.99
69,Nov-1963,317.07
70,Dec-1963,318.35
71,Jan-1964,319.57
72,Feb-1964,320.01
73,Mar-1964,320.74
74,Apr-1964,321.84
75,May-1964,322.26
76,Jun-1964,321.89
77,Jul-1964,320.44
78,Aug-1964,318.69
79,Sep-1964,316.7
80,Oct-1964,316.87
81,Nov-1964,317.68
82,Dec-1964,318.71
83,Jan-1965,319.44
84,Feb-1965,320.44
85,Mar-1965,320.89
86,Apr-1965,322.14
87,May-1965,322.17
88,Jun-1965,321.87
89,Jul-1965,321.21
90,Aug-1965,318.87
91,Sep-1965,317.81
92,Oct-1965,317.3
93,Nov-1965,318.87
94,Dec-1965,319.42
95,Jan-1966,320.62
96,Feb-1966,321.6
97,Mar-1966,322.39
98,Apr-1966,323.7
99,May-1966,324.08
100,Jun-1966,323.75
101,Jul-1966,322.38
102,Aug-1966,320.36
103,Sep-1966,318.64
104,Oct-1966,318.1
105,Nov-1966,319.78
106,Dec-1966,321.03
107,Jan-1967,322.33
108,Feb-1967,322.5
109,Mar-1967,323.04
110,Apr-1967,324.42
111,May-1967,325
112,Jun-1967,324.09
113,Jul-1967,322.54
114,Aug-1967,320.92
115,Sep-1967,319.25
116,Oct-1967,319.39
117,Nov-1967,320.73
118,Dec-1967,321.96
119,Jan-1968,322.57
120,Feb-1968,323.15
121,Mar-1968,323.89
122,Apr-1968,325.02
123,May-1968,325.57
124,Jun-1968,325.36
125,Jul-1968,324.14
126,Aug-1968,322.11
127,Sep-1968,320.33
128,Oct-1968,320.25
129,Nov-1968,321.32
130,Dec-1968,322.89
131,Jan-1969,324
132,Feb-1969,324.42
133,Mar-1969,325.63
134,Apr-1969,326.66
135,May-1969,327.38
136,Jun-1969,326.71
137,Jul-1969,325.88
138,Aug-1969,323.66
139,Sep-1969,322.38
140,Oct-1969,321.78
141,Nov-1969,322.86
142,Dec-1969,324.12
143,Jan-1970,325.06
144,Feb-1970,325.98
145,Mar-1970,326.93
146,Apr-1970,328.13
147,May-1970,328.08
148,Jun-1970,327.67
149,Jul-1970,326.34
150,Aug-1970,324.69
151,Sep-1970,323.1
152,Oct-1970,323.06
153,Nov-1970,324.01
154,Dec-1970,325.13
155,Jan-1971,326.17
156,Feb-1971,326.68
157,Mar-1971,327.17
158,Apr-1971,327.79
159,May-1971,328.93
160,Jun-1971,328.57
161,Jul-1971,327.36
162,Aug-1971,325.43
163,Sep-1971,323.36
164,Oct-1971,323.56
165,Nov-1971,324.8
166,Dec-1971,326.01
167,Jan-1972,326.77
168,Feb-1972,327.63
169,Mar-1972,327.75
170,Apr-1972,329.72
171,May-1972,330.07
172,Jun-1972,329.09
173,Jul-1972,328.04
174,Aug-1972,326.32
175,Sep-1972,324.84
176,Oct-1972,325.2
177,Nov-1972,326.5
178,Dec-1972,327.55
179,Jan-1973,328.55
180,Feb-1973,329.56
181,Mar-1973,330.3
182,Apr-1973,331.5
183,May-1973,332.48
184,Jun-1973,332.07
185,Jul-1973,330.87
186,Aug-1973,329.31
187,Sep-1973,327.51
188,Oct-1973,327.18
189,Nov-1973,328.16
190,Dec-1973,328.64
191,Jan-1974,329.35
192,Feb-1974,330.71
193,Mar-1974,331.48
194,Apr-1974,332.65
195,May-1974,333.19
196,Jun-1974,332.2
197,Jul-1974,331.07
198,Aug-1974,329.15
199,Sep-1974,327.33
200,Oct-1974,327.28
201,Nov-1974,328.31
202,Dec-1974,329.58
203,Jan-1975,330.73
204,Feb-1975,331.46
205,Mar-1975,331.94
206,Apr-1975,333.11
207,May-1975,333.95
208,Jun-1975,333.42
209,Jul-1975,331.97
210,Aug-1975,329.95
211,Sep-1975,328.5
212,Oct-1975,328.36
213,Nov-1975,329.38
214,Dec-1975,330.62
215,Jan-1976,331.56
216,Feb-1976,332.74
217,Mar-1976,333.36
218,Apr-1976,334.74
219,May-1976,334.72
220,Jun-1976,333.98
221,Jul-1976,333.08
222,Aug-1976,330.68
223,Sep-1976,328.96
224,Oct-1976,328.72
225,Nov-1976,330.16
226,Dec-1976,331.62
227,Jan-1977,332.68
228,Feb-1977,333.17
229,Mar-1977,334.96
230,Apr-1977,336.14
231,May-1977,336.93
232,Jun-1977,336.17
233,Jul-1977,334.88
234,Aug-1977,332.56
235,Sep-1977,331.29
236,Oct-1977,331.28
237,Nov-1977,332.46
238,Dec-1977,333.6
239,Jan-1978,334.94
240,Feb-1978,335.26
241,Mar-1978,336.66
242,Apr-1978,337.69
243,May-1978,338.02
244,Jun-1978,338.01
245,Jul-1978,336.5
246,Aug-1978,334.42
