Easting,Northing,lon,lat,County,Live Births,Low Bwt Births,Very Low Bwt Births
493865.557,3539584.049,-81.092,31.974,Chatham,3570,369,100
467554.861,3581547.44,-81.341,32.367,Effingham,570,36,8
463548.477,3486352.845,-81.376,31.484,McIntosh,149,18,3
454305.848,3544080.578,-81.442,32.013,Bryan,370,27,2
454245.142,3456655.732,-81.494,31.213,Glynn,908,95,12
446806.707,3524848.421,-81.456,31.807,Liberty,1525,147,19
440181.095,3425482.335,-81.707,30.939,Camden,722,65,7
434104.476,3505692.396,-81.746,31.753,Long,164,8,1
429643.221,3587905.874,-81.748,32.397,Bulloch,693,64,9
415835.404,3560344.423,-81.887,32.157,Evans,155,9,0
412989.631,3497227.698,-81.917,31.551,Wayne,341,30,10
408546.111,3453357.994,-81.982,31.197,Brantley,124,8,1
400212.232,3549337.656,-82.058,32.046,Tattnall,300,21,5
398199.76,3581861.311,-82.074,32.397,Candler,151,9,3
388725.451,3424758.917,-82.156,30.62,Charlton,127,8,0
383019.454,3473351.819,-82.213,31.359,Pierce,228,11,2
380775.664,3606798.382,-82.302,32.59,Emanuel,308,35,0
375444.918,3558825.264,-82.331,32.121,Toombs,454,33,2
374321.622,3513589.072,-82.289,31.749,Appling,257,23,1
366888.053,3438399.181,-82.424,31.054,Ware,492,46,3
364082.121,3494227.776,-82.481,31.564,Bacon,143,12,2
344402.5,3524049.993,-82.637,31.805,JeffDavis,238,28,2
334630.866,3423796.886,-82.706,30.915,Clinch,99,10,2
325675.232,3487194.532,-82.849,31.549,Coffee,666,66,18
321340.05,3464443.158,-82.88,31.297,Atkinson,164,12,5
