year,ISO_code,countries,region,pf_expression_control,pf_score
2016,ALB,Albania,Eastern Europe,5.250,7.596
2016,DZA,Algeria,Middle East and North Africa,4.000,5.282
2016,AGO,Angola,Sub-Saharan Africa,2.500,6.111
2016,ARG,Argentina,Latin America and the Caribbean,5.500,8.100
2016,ARM,Armenia,Caucasus and Central Asia,4.250,6.913
2016,AUS,Australia,Oceania,7.750,9.184
2016,AUT,Austria,Western Europe,8.000,9.247
2016,AZE,Azerbaijan,Caucasus and Central Asia,0.250,5.677
2016,BHS,Bahamas,Latin America and the Caribbean,7.250,7.455
2016,BHR,Bahrain,Middle East and North Africa,0.750,6.136
2016,BGD,Bangladesh,South Asia,3.250,5.303
2016,BRD,Barbados,Latin America and the Caribbean,7.500,7.707
2016,BLR,Belarus,Eastern Europe,2.500,6.059
2016,BEL,Belgium,Western Europe,9.250,8.987
2016,BLZ,Belize,Latin America and the Caribbean,6.750,7.431
2016,BEN,Benin,Sub-Saharan Africa,7.250,7.497
2016,BTN,Bhutan,South Asia,5.000,6.601
2016,BOL,Bolivia,Latin America and the Caribbean,4.250,7.207
2016,BIH,Bosnia and Herzegovina,Eastern Europe,4.250,7.861
2016,BWA,Botswana,Sub-Saharan Africa,5.250,6.876
2016,BRA,Brazil,Latin America and the Caribbean,4.500,6.666
2016,BRN,Brunei Darussalam,South Asia,3.750,4.664
2016,BGR,Bulgaria,Eastern Europe,5.750,8.156
2016,BFA,Burkina Faso,Sub-Saharan Africa,7.000,7.455
2016,BDI,Burundi,Sub-Saharan Africa,0.750,4.414
2016,KHM,Cambodia,South Asia,3.250,7.238
2016,CMR,Cameroon,Sub-Saharan Africa,4.250,5.331
2016,CAN,Canada,North America,8.250,9.152
2016,CPV,Cape Verde,Sub-Saharan Africa,7.750,7.987
2016,CAF,Central Afr. Rep.,Sub-Saharan Africa,3.000,5.466
2016,TCD,Chad,Sub-Saharan Africa,2.500,5.510
2016,CHL,Chile,Latin America and the Caribbean,6.750,8.216
2016,CHN,China,East Asia,1.500,5.351
2016,COL,Colombia,Latin America and the Caribbean,3.500,7.022
2016,COD,"Congo, Dem. R.",Sub-Saharan Africa,3.750,4.947
2016,COG,"Congo, Rep. Of",Sub-Saharan Africa,2.000,6.778
2016,CRI,Costa Rica,Latin America and the Caribbean,8.500,8.165
2016,CIV,Cote d'Ivoire,Sub-Saharan Africa,5.250,7.063
2016,HRV,Croatia,Eastern Europe,5.750,8.456
2016,CYP,Cyprus,Eastern Europe,7.500,8.514
2016,CZE,Czech Rep.,Eastern Europe,8.000,9.030
2016,DNK,Denmark,Western Europe,8.500,9.326
2016,DOM,Dominican Rep.,Latin America and the Caribbean,4.750,6.943
2016,ECU,Ecuador,Latin America and the Caribbean,3.250,7.551
2016,EGY,Egypt,Middle East and North Africa,1.500,3.895
2016,SLV,El Salvador,Latin America and the Caribbean,5.500,6.918
2016,EST,Estonia,Eastern Europe,9.000,9.014
2016,ETH,Ethiopia,Sub-Saharan Africa,0.500,5.064
2016,FJI,Fiji,Oceania,6.000,7.792
2016,FIN,Finland,Western Europe,9.000,9.294
2016,FRA,France,Western Europe,6.750,8.767
2016,GAB,Gabon,Sub-Saharan Africa,3.750,5.316
2016,GMB,"Gambia, The",Sub-Saharan Africa,1.250,5.303
2016,GEO,Georgia,Caucasus and Central Asia,4.750,7.577
2016,DEU,Germany,Western Europe,7.500,9.235
2016,GHA,Ghana,Sub-Saharan Africa,6.750,7.872
2016,GRC,Greece,Eastern Europe,5.500,7.947
2016,GTM,Guatemala,Latin America and the Caribbean,4.250,6.548
2016,GIN,Guinea,Sub-Saharan Africa,2.750,5.371
2016,GNB,Guinea-Bissau,Sub-Saharan Africa,4.000,6.860
2016,GUY,Guyana,Latin America and the Caribbean,6.000,7.042
2016,HTI,Haiti,Latin America and the Caribbean,5.750,7.184
2016,HND,Honduras,Latin America and the Caribbean,1.750,6.386
2016,HKG,Hong Kong,East Asia,5.000,8.584
2016,HUN,Hungary,Eastern Europe,5.750,8.259
2016,ISL,Iceland,Western Europe,8.750,9.084
2016,IND,India,South Asia,4.500,6.196
2016,IDN,Indonesia,South Asia,5.500,6.381
2016,IRN,Iran,Middle East and North Africa,1.000,4.532
2016,IRQ,Iraq,Middle East and North Africa,2.000,3.116
2016,IRL,Ireland,Western Europe,8.500,8.939
