year,ISO_code,countries,region,pf_expression_control,pf_score
2016,ALB,Albania,Eastern Europe,5.25,7.596280576
2016,DZA,Algeria,Middle East & North Africa,4,5.281772109
2016,AGO,Angola,Sub-Saharan Africa,2.5,6.111324364
2016,ARG,Argentina,Latin America & the Caribbean,5.5,8.099695682
2016,ARM,Armenia,Caucasus & Central Asia,4.25,6.912803602
2016,AUS,Australia,Oceania,7.75,9.184438453
2016,AUT,Austria,Western Europe,8,9.246948401
2016,AZE,Azerbaijan,Caucasus & Central Asia,0.25,5.676553478
2016,BHS,Bahamas,Latin America & the Caribbean,7.25,7.454537846
2016,BHR,Bahrain,Middle East & North Africa,0.75,6.136069994
2016,BGD,Bangladesh,South Asia,3.25,5.302600358
2016,BRD,Barbados,Latin America & the Caribbean,7.5,7.706894465
2016,BLR,Belarus,Eastern Europe,2.5,6.059028163
2016,BEL,Belgium,Western Europe,9.25,8.987178587
2016,BLZ,Belize,Latin America & the Caribbean,6.75,7.430863836
