"mx","my"
0.513,0.513
1.653,0.114
2.166,0.171
2.223,1.026
2.736,0.171
3.363,0.114
3.705,0.912
3.819,0.741
4.161,0.741
4.503,0.171
4.902,0.741
5.073,0.456
5.586,0.114
0.114,1.026
0.627,1.767
2.394,1.254
2.736,0.741
3.534,1.197
4.161,1.311
5.073,1.311
0.114,2.337
0.171,2.508
0.399,2.394
2.964,2.394
3.648,2.451
0.456,3.363
0.456,3.591
0.684,3.591
0.684,3.762
0.969,3.306
1.767,3.021
1.824,2.964
2.394,2.793
2.964,2.964
5.187,2.964
5.358,3.306
1.938,3.876
2.109,3.876
2.679,3.819
2.964,3.819
3.363,3.819
3.762,3.876
4.332,3.762
4.161,4.161
5.073,4.218
5.358,4.446
5.586,4.503
5.529,4.902
0.684,4.788
0.627,5.358
0.969,5.415
1.197,4.503
1.653,4.788
1.824,4.731
1.995,4.902
2.223,4.503
2.964,5.301
3.306,4.731
3.933,5.301
4.389,5.301
2.052,5.529
2.052,5.472
2.223,5.472
2.451,5.472
3.534,5.529
