interest_rate,verified_income,debt_to_income,credit_util,public_record_bankrupt,term,issue_month,inquiries_last_12m
14.07,Verified,18.01,0.55,0,60,18-Mar,6
12.61,Not Verified,5.04,0.15,1,36,18-Feb,1
17.09,Source Verified,21.15,0.66,0,36,18-Feb,4
6.72,Not Verified,10.16,0.2,0,36,18-Jan,0
14.07,Verified,57.96,0.75,0,36,18-Mar,7
6.72,Not Verified,6.46,0.09,0,36,18-Jan,6
13.59,Source Verified,23.66,0.06,0,60,18-Jan,1
11.99,Source Verified,16.19,0.18,0,60,18-Jan,1
13.59,Source Verified,36.48,0.25,0,36,18-Feb,3
6.71,Not Verified,18.91,0.54,0,36,18-Mar,0
15.04,Verified,10.45,0.58,1,60,18-Mar,4
9.92,Source Verified,1.82,0.12,0,60,18-Mar,4
13.59,Source Verified,12.06,0.17,0,36,18-Feb,8
9.43,Source Verified,3.67,0.06,0,60,18-Feb,6
19.03,Verified,33.98,0.36,1,36,18-Jan,0
19.03,Not Verified,38.46,0.55,0,60,18-Feb,0
19.03,Not Verified,31.22,0.25,0,60,18-Jan,4
28.72,Source Verified,20.33,0.93,0,60,18-Jan,6
26.77,Verified,9.53,0.23,0,36,18-Feb,2
15.05,Source Verified,18.44,0.07,0,60,18-Jan,1
6.08,Not Verified,15.6,0.26,0,36,18-Jan,0
11.98,Source Verified,32,0.17,1,36,18-Mar,4
13.59,Not Verified,26.53,0.27,0,60,18-Feb,1
6.71,Verified,7.27,0.03,0,36,18-Mar,1
7.96,Not Verified,17.31,1.06,0,36,18-Mar,1
12.61,Source Verified,14.42,0.09,0,60,18-Feb,0
11.98,Source Verified,13.68,0.64,0,36,18-Mar,7
7.34,Not Verified,19.38,0.52,0,36,18-Feb,0
5.32,Not Verified,11,0.26,0,36,18-Jan,0
6.07,Source Verified,2.88,0.02,0,36,18-Mar,2
12.62,Verified,26.25,0.26,0,36,18-Feb,2
9.44,Source Verified,24.9,0.64,0,60,18-Feb,1
19.03,Verified,36.75,0.21,0,60,18-Feb,0
20.39,Source Verified,28.3,0.46,0,60,18-Mar,0
9.93,Not Verified,13.82,0.11,0,60,18-Jan,2
6.08,Source Verified,0,0,0,36,18-Jan,0
21.45,Source Verified,10.59,0.92,0,36,18-Jan,1
15.04,Verified,17.06,0.08,0,60,18-Mar,2
10.42,Not Verified,18.53,0.62,0,36,18-Jan,2
12.61,Source Verified,7.1,0.25,0,36,18-Feb,0
18.06,Not Verified,24.79,0.54,1,60,18-Jan,0
11.99,Source Verified,15.72,0.66,0,60,18-Feb,8
15.05,Source Verified,14.82,0.59,0,60,18-Jan,0
15.05,Source Verified,25.89,0.72,0,36,18-Feb,1
12.62,Source Verified,13.51,0.12,0,60,18-Feb,2
6.72,Not Verified,10.71,0.14,1,36,18-Jan,4
6.71,Not Verified,2.68,0.11,0,36,18-Mar,0
15.05,Verified,25.7,0.46,0,36,18-Feb,0
9.93,Not Verified,3.64,0.31,0,60,18-Jan,0
10.42,Source Verified,17.24,0.49,0,36,18-Jan,2
22.91,Verified,18.72,0.18,0,60,18-Feb,6
30.79,Not Verified,19.64,0.61,0,60,18-Jan,1
15.05,Source Verified,9.12,0.46,0,60,18-Feb,0
6.07,Source Verified,22.91,0.28,0,36,18-Mar,0
6.07,Not Verified,21.41,0.19,0,36,18-Mar,1
17.47,Source Verified,13.05,0.03,0,36,18-Mar,0
7.34,Verified,20.16,0.08,0,36,18-Mar,4
13.59,Verified,39.08,0.35,1,36,18-Feb,8
6.72,Not Verified,14.62,0.07,0,36,18-Jan,2
5.31,Not Verified,11.64,0.56,0,36,18-Feb,1
9.93,Verified,12.15,0.22,1,36,18-Jan,8
9.92,Source Verified,12.58,0.4,0,36,18-Mar,0
9.93,Not Verified,16.73,0.84,0,36,18-Feb,0
14.07,Verified,28.13,0.2,0,60,18-Mar,1
7.97,Source Verified,7.89,0.45,0,36,18-Feb,1
5.31,Not Verified,15.42,0.12,0,36,18-Mar,0
9.93,Not Verified,32.4,0.34,0,60,18-Feb,1
14.08,Source Verified,17.28,0.77,1,60,18-Jan,2
12.61,Not Verified,32.06,0.17,0,36,18-Mar,0
12.62,Source Verified,3.7,0.42,0,36,18-Jan,1
17.47,Source Verified,22.09,0.81,0,36,18-Mar,6
12.62,Source Verified,16.26,0.34,0,36,18-Jan,2
6.71,Source Verified,8.72,0.4,0,36,18-Mar,0
19.42,Source Verified,16.3,0.77,0,60,18-Mar,1
12.62,Source Verified,16.04,0.32,0,36,18-Feb,3
14.08,Not Verified,28.42,0.13,0,60,18-Jan,0
10.91,Verified,21.94,0.31,0,36,18-Jan,1
17.47,Verified,19.22,0.99,0,36,18-Feb,3
18.06,Verified,37.74,0.85,0,36,18-Jan,1
16.02,Verified,15.44,0.06,1,36,18-Jan,2
19.03,Verified,18.39,0.18,0,36,18-Feb,3
12.62,Source Verified,27.23,0.42,1,36,18-Jan,7
6.07,Source Verified,11.14,0.68,0,36,18-Feb,2
9.43,Source Verified,1.56,0.02,0,60,18-Mar,3
10.42,Verified,17.44,0.17,0,60,18-Jan,1
7.96,Not Verified,11.45,0.2,1,36,18-Mar,2
13.59,Not Verified,21.09,0.25,0,60,18-Jan,5
15.04,Source Verified,34.86,0.66,0,60,18-Mar,1
12.61,Source Verified,13.77,0.49,0,36,18-Mar,1
7.96,Source Verified,9.61,0.85,1,36,18-Mar,3
13.58,Source Verified,24.39,0.55,0,60,18-Mar,4
16.01,Source Verified,5.16,0.06,0,60,18-Mar,6
