NAME,Easting,Northing,Median House Price,Unemployment,Crime rate,Ambulance incidents,Mayor
Bromley,543564,166111,295650,5,61,11,CON
Richmond upon Thames,518696,173962,475000,5,55,10,CON
Hillingdon,508475,187411,265000,8,67,16,LAB
Havering,555305,187061,231000,7,62,13,CON
Kingston upon Thames,519834,167725,335000,6,55,12,CON
Sutton,527586,164205,250000,6,53,12,CON
Hounslow,514706,176681,280000,8,75,12,LAB
Merton,524574,169487,322000,6,57,11,CON
Wandsworth,527036,174232,461125,7,71,11,CON
Croydon,534206,163908,240000,9,76,14,CON
Lambeth,530532,175139,345000,8,104,14,LAB
Southwark,533459,178090,347500,11,104,15,LAB
Lewisham,538034,173469,258000,9,78,13,LAB
Greenwich,542630,177119,265000,11,74,13,LAB
Ealing,515243,181612,327000,11,75,12,LAB
Hammersmith and Fulham,524581,177063,570000,6,106,13,CON
Brent,518987,186294,350000,9,77,13,LAB
Harrow,514947,190595,325000,9,50,10,CON
Barnet,523815,192430,346000,5,61,12,CON
Islington,531407,184620,462726,8,114,15,LAB
Hackney,534961,185224,375000,11,101,12,LAB
Newham,541173,183270,230000,11,91,13,LAB
Barking and Dagenham,548094,184104,180000,13,83,14,LAB
Haringey,531378,189759,339875,9,84,13,LAB
Enfield,533304,195992,250000,7,70,13,LAB
Waltham Forest,537305,188883,263000,7,83,12,LAB
Redbridge,544650,188740,275000,9,69,12,LAB
Bexley,547944,174419,225000,9,50,12,CON
Kensington and Chelsea,525057,179874,980000,9,115,13,CON
Westminster,527011,181815,730000,4,238,22,CON
Camden,527226,185566,575000,7,124,16,LAB
Tower Hamlets,536445,182221,320000,13,99,12,LAB
City of London,532312,181317,595000,0,0,0,CON
