name,team,position,AB,H,HR,RBI,AVG,OBP
" Abreu, J",CWS,IF,499,132,22,78,0.265,0.325
" Acuna Jr., R",ATL,OF,433,127,26,64,0.293,0.366
" Adames, W",TB,IF,288,80,10,34,0.278,0.348
" Adams, M",STL,IF,306,73,21,57,0.239,0.309
" Adduci, J",DET,IF,176,47,3,21,0.267,0.29
" Adrianza, E",MIN,IF,335,84,6,39,0.251,0.301
" Aguilar, J",MIL,IF,492,135,35,108,0.274,0.352
" Ahmed, N",ARI,IF,516,121,16,70,0.234,0.29
" Albies, O",ATL,IF,639,167,24,72,0.261,0.305
" Alfaro, J",PHI,C,344,90,10,37,0.262,0.324
" Allen, G",CLE,OF,265,68,2,20,0.257,0.31
" Almonte, A",KC,OF,134,24,3,9,0.179,0.26
" Almora Jr., A",CHC,OF,444,127,5,41,0.286,0.323
" Alonso, Y",CLE,IF,516,129,23,83,0.25,0.317
" Altherr, A",PHI,OF,243,44,8,38,0.181,0.295
" Altuve, J",HOU,IF,534,169,13,61,0.316,0.386
" Alvarez, P",BAL,IF,111,20,8,18,0.18,0.283
" Anderson, B",MIA,OF,590,161,11,65,0.273,0.357
" Anderson, T",CWS,IF,567,136,20,64,0.24,0.281
" Andrus, E",TEX,IF,395,101,6,33,0.256,0.308
" Andujar, M",NYY,IF,573,170,27,92,0.297,0.328
" Arcia, F",LAA,C,103,21,6,23,0.204,0.226
" Arcia, O",MIL,IF,348,82,3,30,0.236,0.268
" Arenado, N",COL,IF,590,175,38,110,0.297,0.374
" Asuaje, C",SD,IF,189,37,2,19,0.196,0.286
" Austin, T",MIN,IF,244,56,17,47,0.23,0.287
" Avila, A",ARI,C,194,32,7,20,0.165,0.299
" Bader, H",STL,OF,379,100,12,37,0.264,0.334
" Baez, J",CHC,IF,606,176,34,111,0.29,0.326
" Barnes, A",LAD,C,200,41,4,14,0.205,0.329
" Barnhart, T",CIN,C,460,114,10,46,0.248,0.328
" Bauers, J",TB,IF,323,65,11,48,0.201,0.316
" Bautista, J",PHI,OF,325,66,13,48,0.203,0.348
" Beckham, T",BAL,IF,369,85,12,35,0.23,0.287
" Bell, J",PIT,IF,501,131,12,62,0.261,0.357
" Bellinger, C",LAD,IF,557,145,25,76,0.26,0.343
" Belt, B",SF,IF,399,101,14,46,0.253,0.342
" Beltre, A",TEX,IF,433,118,15,65,0.273,0.328
" Benintendi, A",BOS,OF,579,168,16,87,0.29,0.366
" Betts, M",BOS,OF,520,180,32,80,0.346,0.438
" Bird, G",NYY,IF,272,54,11,38,0.199,0.286
" Blackmon, C",COL,OF,626,182,29,70,0.291,0.358
" Blanco, G",SF,OF,189,41,2,12,0.217,0.262
" Blandino, A",CIN,IF,128,30,1,8,0.234,0.324
" Bogaerts, X",BOS,IF,513,148,23,103,0.288,0.36
" Bonifacio, J",KC,OF,236,53,4,23,0.225,0.312
" Bote, D",CHC,IF,184,44,6,33,0.239,0.319
" Bour, J",PHI,IF,423,96,20,59,0.227,0.341
" Bradley Jr., J",BOS,OF,474,111,13,59,0.234,0.314
" Brantley, M",CLE,OF,570,176,17,76,0.309,0.364
" Braun, R",MIL,OF,405,103,20,64,0.254,0.313
" Bregman, A",HOU,IF,594,170,31,103,0.286,0.394
" Briceno, J",LAA,C,117,28,5,10,0.239,0.299
" Brinson, L",MIA,OF,382,76,11,42,0.199,0.24
" Bruce, J",NYM,OF,319,71,9,37,0.223,0.31
" Bryant, K",CHC,IF,389,106,13,52,0.272,0.374
" Butera, D",COL,C,163,31,3,21,0.19,0.264
" Cabrera, A",PHI,IF,546,143,23,75,0.262,0.316
" Cabrera, M",DET,IF,134,40,3,22,0.299,0.395
" Cabrera, M",CLE,OF,250,70,6,39,0.28,0.335
" Cain, L",MIL,OF,539,166,10,38,0.308,0.395
" Calhoun, K",LAA,OF,491,102,19,57,0.208,0.283
" Camargo, J",ATL,IF,464,126,19,76,0.272,0.349
" Candelario, J",DET,IF,539,121,19,54,0.224,0.317
" Canha, M",OAK,OF,365,91,17,52,0.249,0.328
" Cano, R",SEA,IF,310,94,10,50,0.303,0.374
" Caratini, V",CHC,C,181,42,2,21,0.232,0.293
" Carpenter, M",STL,IF,564,145,36,81,0.257,0.374
" Casali, C",CIN,C,140,41,4,16,0.293,0.355
" Castellanos, N",DET,OF,620,185,23,89,0.298,0.354
" Castillo, W",CWS,C,170,44,6,15,0.259,0.304
" Castro, S",MIA,IF,593,165,12,54,0.278,0.329
" Cave, J",MIN,OF,283,75,13,45,0.265,0.313
" Cervelli, F",PIT,C,332,86,12,57,0.259,0.378
" Cespedes, Y",NYM,OF,141,37,9,29,0.262,0.325
" Chapman, M",OAK,IF,547,152,24,68,0.278,0.356
" Chirinos, R",TEX,C,360,80,18,65,0.222,0.338
" Choi, J",TB,IF,190,50,10,32,0.263,0.357
" Choo, S",TEX,OF,560,148,21,62,0.264,0.377
" Conforto, M",NYM,OF,543,132,28,82,0.243,0.35
" Contreras, W",CHC,C,474,118,10,54,0.249,0.339
" Cordero, F",SD,OF,139,33,7,19,0.237,0.307
" Correa, C",HOU,IF,402,96,15,65,0.239,0.323
" Cowart, K",LAA,IF,112,15,1,10,0.134,0.21
" Cozart, Z",LAA,IF,224,49,5,18,0.219,0.296
" Crawford, B",SF,IF,531,135,14,54,0.254,0.325
" Crawford, J",PHI,IF,117,25,3,12,0.214,0.319
" Cron, C",TB,IF,501,127,30,74,0.253,0.323
" Cuevas, N",COL,OF,146,34,2,10,0.233,0.268
" Culberson, C",ATL,OF,296,80,12,45,0.27,0.326
" Cuthbert, C",KC,IF,103,20,3,7,0.194,0.282
" Dahl, D",COL,OF,249,68,16,48,0.273,0.325
" Davis, C",BAL,IF,470,79,16,49,0.168,0.243
" Davis, J",HOU,IF,103,18,1,5,0.175,0.248
" Davis, K",OAK,OF,576,142,48,123,0.247,0.326
" Davis, R",CLE,OF,196,44,1,6,0.224,0.278
" Dean, A",MIA,OF,113,25,4,14,0.221,0.279
" DeJong, P",STL,IF,436,105,19,68,0.241,0.313
" Delmonico, N",CWS,OF,284,61,8,25,0.215,0.296
" Descalso, D",ARI,IF,349,83,13,57,0.238,0.353
" DeShields, D",TEX,OF,334,72,2,22,0.216,0.31
" Desmond, I",COL,IF,555,131,22,88,0.236,0.307
" Devers, R",BOS,IF,450,108,21,66,0.24,0.298
" Diaz, A",TOR,IF,422,111,18,55,0.263,0.303
" Diaz, E",PIT,C,252,72,10,34,0.286,0.339
" Diaz, Y",CLE,IF,109,34,1,15,0.312,0.375
