"x","y","PointWeight","PointType"
402.5,89.5,1345,"V. Americana"
358,170,3546.732442,"V. Americana"
343,115,3473.227028,"V. Americana"
390,46.5,3216.990877,"V. Americana"
450,12,3058.151953,"V. Americana"
439.5,11,2884.264799,"V. Americana"
302,45.5,2855.778408,"V. Americana"
380,111,2846.31436,"V. Americana"
441,131,2752.537819,"V. Americana"
397,23.5,2533.882971,"V. Americana"
452.5,127,2524.968702,"V. Americana"
337,117,2489.468705,"V. Americana"
300.5,26,2419.222693,"V. Americana"
348.5,79,2393.13962,"V. Americana"
422,79,2324.275909,"V. Americana"
331,23,2189.564416,"V. Americana"
337,131,2156.514861,"V. Americana"
357,39,2099.282897,"V. Americana"
399,57,2058.874161,"V. Americana"
382,38,1987.128039,"V. Americana"
419.5,131.5,1885.74099,"V. Americana"
421,42,1824.668429,"V. Americana"
340.5,8.5,1734.944543,"V. Americana"
341,21,1720.210473,"V. Americana"
385.5,8,1618.831278,"V. Americana"
447.5,47,1590.431281,"V. Americana"
374,175,1569.296216,"V. Americana"
353.5,76,1562.282611,"V. Americana"
386.5,100.5,1534.385268,"V. Americana"
328,35,1534.385268,"V. Americana"
388,53,1534.385268,"V. Americana"
412.5,19,1513.627194,"V. Americana"
374,94,1452.201204,"V. Americana"
350,58.5,1378.85287,"V. Americana"
408,135.5,1326.702432,"V. Americana"
345.5,37,1301.004204,"V. Americana"
438,6,1225.417484,"V. Americana"
314,58.5,1040.621151,"V. Americana"
335,43.5,945.6900746,"V. Americana"
436.5,1.5,945.6900746,"V. Americana"
311,114.5,891.9688402,"V. Americana"
445,17,891.9688402,"V. Americana"
360,79,829.5768101,"V. Americana"
392,182,725.8335667,"V. Americana"
448,132,629.0175351,"V. Americana"
384,25,615.7521601,"V. Americana"
369,24,602.6281568,"V. Americana"
368.5,9,589.6455252,"V. Americana"
382,29.5,589.6455252,"V. Americana"
379.5,45,568.321965,"V. Americana"
449.5,17.5,543.2520556,"V. Americana"
435.5,42.5,535.0210829,"V. Americana"
372.5,200,510.7051557,"V. Americana"
306,9,494.8086969,"V. Americana"
346.5,21,494.8086969,"V. Americana"
442.5,6,494.8086969,"V. Americana"
387,25.5,483.0512864,"V. Americana"
358.5,52,467.5946506,"V. Americana"
424,113.5,437.4353611,"V. Americana"
391.5,125,430.0526183,"V. Americana"
