"lon" "lat" "co" "no" "no2"
"1" -119.7391 36.7019 0.43 0.00705 0.02025
"2" -119.2907 36.3328 0.443478 0.007217 0.023522
"3" -118.3688 33.9305 0.30625 0.00875 0.018313
"4" -121.2692 37.9508 0.495455 0.011182 0.017864
"5" -121.8969 38.0296 0.505882 0.003706 0.009706
"6" -122.7092 38.4436 0.161111 0.005111 0.008833
"7" -121.8595 39.7569 0.33913 0.005565 0.01187
"8" -121.381 38.7122 0.546667 0.004467 0.015
"9" -122.2034 37.4823 0.494737 0.006053 0.010737
"10" -121.7746 38.5352 0.230435 0.008696 0.012043
"11" -118.1747 34.1816 1.085714 0.015 0.030357
"12" -118.0606 34.0141 1.108696 0.026565 0.03387
"13" -116.5405 33.8525 0.426087 0.002043 0.013
"14" -117.2732 34.1065 0.86 0.00925 0.04795
"15" -117.9523 33.9253 0.680952 0.010095 0.028905
"16" -117.0741 33.1277 0.554545 0.006091 0.015818
"17" -121.9618 37.5357 0.288235 0.002941 0.008294
"18" -122.1929 37.012 0.333333 0.006125 0.004625
"19" -120.4541 34.636 0.177273 0.001409 0.002409
"20" -121.7657 37.6849 0.336842 0.009842 0.014053
"21" -122.3978 37.7661 0.465 0.00515 0.0103
"22" -122.2369 38.1029 0.364286 0.006 0.009857
"23" -121.8875 37.34 0.666667 0.006952 0.015333
"24" -118.5327 34.1991 0.888889 0.014667 0.029278
"25" -118.1895 33.824 0.87619 0.011857 0.025905
"26" -117.9238 34.1362 1 0.023333 0.055
"27" -118.3167 34.1756 1.052174 0.022435 0.030739
"28" -118.4566 34.0506 0.1 0.015 0.024
"29" -119.7007 34.4208 0.405882 0.003647 0.013588
"30" -118.2097 33.9291 1.2 0.039217 0.029783
"31" -117.083 32.64 0.607692 0.003308 0.011462
"32" -117.3724 33.9818 1 0.021833 0.035
"33" -122.5184 37.9728 0.442857 0.009381 0.009714
"34" -122.2942 38.3115 0.365 0.00605 0.00885
"35" -120.6546 35.2826 0.406667 0.001667 0.0066
"36" -121.3669 38.6141 0.123077 0.003538 0.012308
"37" -121.6354 36.6986 0.504167 0.006 0.006333
"38" -121.6414 38.0067 0.421429 0.002214 0.008357
"39" -122.0247 37.9391 0.345 0.00505 0.00995
"40" -120.9936 37.6424 0.508696 0.005652 0.017652
"41" -118.6847 34.2775 0.685714 0.010429 0.025929
"42" -117.7508 34.0669 1.130435 0.027783 0.061348
"43" -118.2419 34.0672 1 0.0114 0.024
"44" -117.0236 34.895 0.269565 0.026522 0.030304
"45" -116.9375 32.5838 0.65 0.005875 0.013563
"46" -117.9258 33.6739 0.136364 0.001727 0.009
"47" -119.97 38.94 0.441667 0.005 0.01025
"48" -121.26 38.75 0.314286 0.002214 0.014786
"49" -121.6191 39.1388 0.58 0.0027 0.00995
"50" -117.3297 34.5042 0.436364 0.028955 0.024591
"51" -117.1525 32.7104 0.638889 0.004778 0.012667
"52" -119.1545 34.252 0.25 0.002286 0.009429
"53" -120.8355 37.4883 0.45 0.014 0.021417
"54" -119.7732 36.7816 0.4 0.008783 0.015696
"55" -121.4931 38.5679 0.243478 0.005304 0.01387
"56" -119.7165 36.8194 0.4 0.0056 0.01525
"57" -115.4832 32.6765 0.454545 0.001955 0.006227
"58" -116.977 32.4977 0.777778 0.005333 0.018611
"59" -119.0147 35.3855 0.638095 0.006143 0.027857
"60" -119.0402 35.3561 0.334783 0.005304 0.019435
"61" -119.8287 34.4455 0.41 0.0021 0.011
"62" -115.3897 32.6778 0.125 0.0028 0.0047
"63" -117.1166 32.5 0.64375 0.004813 0.013375
"64" -117.0547 32.3433 0.41 0.0015 0.0074
"65" -115 32 0.45 0.0015 0.013
"66" -122.3391 37.9643 0.375 0.0043 0.0102
"67" -121.5133 38.6369 0.1875 0.008625 0.016563
"68" -119.9563 39.2508 0.1 0.004 0.013
