x,y
54.38055,10.97944
54.21027,11.09417
54.08944,10.80139
53.99722,10.79
53.91694,10.86361
54.01527,11.18222
53.96027,11.48083
54.07555,11.62556
54.15277,11.68278
54.39111,12.43694
54.43388,12.91972
54.42967,12.7129
54.30111,12.36444
54.25222,12.4525
54.36055,12.54972
54.25194,13.2125
54.11972,13.48056
53.98638,13.82972
53.69778,14.26528
53.045,14.34222
52.82055,14.19639
52.63777,14.51833
52.49056,14.63639
52.40694,14.53722
52.24389,14.71055
51.84389,14.605
51.69416,14.71583
51.55472,14.715
51.35555,14.97167
51.11861,14.99444
50.85638,14.825
50.85999,14.61806
50.99305,14.25555
50.81361,13.98667
50.64278,13.51972
50.62944,13.37833
50.51694,13.20333
50.40888,12.93889
50.39388,12.51861
50.31805,12.17722
50.10621,12.20614
49.90722,12.54722
49.56056,12.57861
49.32889,12.89111
49.28777,13.03111
48.97083,13.58056
48.91416,13.64111
48.87944,13.72444
48.84083,13.76555
48.78083,13.81222
48.58111,13.8025
48.58527,13.51528
48.43527,13.44
48.30306,13.27861
48.10916,12.75333
47.9946,12.86534
47.72444,12.91083
47.72527,13.01917
47.49389,13.05028
47.58583,12.78611
47.68417,12.73555
47.63333,12.51278
47.61111,12.14139
47.50916,11.50528
47.40333,10.97111
47.58138,10.43417
47.30833,10.32944
47.49528,10.04306
47.5353,9.7292
47.67916,8.99667
47.71805,8.83528
47.69222,8.76139
47.79805,8.66139
47.69972,8.40722
47.66833,8.55139
47.59944,8.59139
47.60249,8.465
47.62083,8.19333
47.55222,7.93194
47.57639,7.67
47.64166,7.56111
47.90333,7.58417
48.04478,7.56919
48.34541,7.75177
48.84083,8.11028
49.00527,8.05194
49.16416,7.48694
49.14444,7.36167
49.21527,6.8475
49.175,6.86111
49.18305,6.715
49.46139,6.46833
49.70663,6.50584
49.88055,6.25528
50.12194,6.13028
50.44055,6.37444
50.61861,6.27167
50.84777,6.02611
50.91361,6.08139
50.97194,5.90028
51.1311,6.0975
51.24249,6.07889
51.5725,6.13139
51.78527,5.98139
51.91416,6.68556
51.96555,6.82889
52.11833,6.8525
52.19028,6.96472
52.35278,7.06972
52.44305,6.96583
52.55944,6.7225
52.65222,6.76805
52.63277,7.03583
52.78583,7.06556
53.01583,7.21167
53.31389,7.33694
53.33639,7.22694
53.365,7.02417
53.59194,7.09611
53.68305,7.48444
53.71,8.00833
53.67083,8.02472
53.52444,8.16806
53.48,8.06611
53.40222,8.24833
53.51527,8.31972
53.53222,8.23222
53.55499,8.49444
53.40611,8.48528
53.45055,8.49861
53.53611,8.5675
53.81833,8.54805
53.87167,8.71139
53.84666,9.02055
53.79805,9.35139
53.54373,9.76475
53.55028,9.82472
53.61361,9.57528
53.85722,9.32778
53.895,8.96722
54.04111,8.85417
54.02611,9.00056
54.175,8.81278
54.27027,8.69556
54.31638,8.60305
54.41083,8.76861
54.46027,9.005
54.54944,8.94028
54.81027,8.64861
54.85999,8.3025
54.7375,8.28833
54.92638,8.30361
55.02416,8.43833
54.92673,8.41663
54.91309,8.66455
54.90805,8.92
54.81249,9.35889
54.80222,9.43916
54.76111,9.97278
54.5075,9.97055
54.45277,9.87833
54.34666,10.63889
54.30972,10.78778
54.38472,10.95167
