x,y
54.38056,10.979
54.20548,11.094
54.03583,10.757
53.9543,10.890
53.99528,11.013
53.96028,11.481
54.08239,11.626
54.28666,12.327
54.44895,12.639
54.41194,12.881
54.39513,12.464
54.25895,12.424
54.37611,12.683
54.17444,13.379
54.10972,13.789
53.85479,13.809
53.33896,14.413
52.98888,14.225
52.74833,14.355
52.60683,14.596
52.39625,14.534
52.06986,14.761
51.72388,14.668
51.52652,14.739
51.35722,14.972
51.07833,14.979
50.85639,14.825
50.85826,14.619
51.05249,14.306
50.84305,14.156
50.72222,13.635
50.60527,13.437
50.50278,13.187
50.41472,12.917
50.41194,12.671
50.20666,12.323
50.13632,12.194
49.97583,12.491
49.61666,12.555
49.33493,12.959
48.9725,13.510
48.8793,13.699
48.77985,13.818
48.53229,13.677
48.42944,13.438
48.29888,13.258
48.05458,12.799
47.85416,13.009
47.70611,13.058
47.55472,12.807
47.67229,12.603
47.63338,12.207
47.61417,11.920
47.42889,11.296
47.55389,10.691
47.43764,10.474
47.32249,10.212
47.56583,9.746
47.54045,9.567
47.67014,8.979
47.71805,8.835
47.70829,8.732
47.77062,8.477
47.66861,8.581
47.6184,8.563
47.61944,8.241
47.54333,7.697
47.58448,7.588
47.86278,7.557
48.08722,7.569
48.39403,7.737
48.81944,8.105
48.97639,8.156
49.04493,7.652
49.15194,7.364
49.21204,6.846
49.36305,6.595
49.48917,6.363
49.8111,6.482
49.8975,6.234
50.11916,6.129
50.32317,6.398
50.61985,6.270
50.85048,6.058
51.01889,5.869
51.21409,6.072
51.55832,6.159
51.80666,5.964
51.87444,6.528
51.97576,6.829
52.14235,6.875
52.30582,7.035
52.46097,6.759
52.62679,6.719
52.72138,7.064
52.93416,7.180
53.31694,7.325
53.33707,7.083
53.58819,7.094
53.67208,7.513
53.7175,7.949
53.55868,8.161
53.44444,8.098
53.50555,8.320
53.6075,8.270
53.46208,8.484
53.48319,8.504
53.81833,8.548
53.84666,8.756
53.86332,9.105
53.76083,9.379
53.54373,9.765
53.56833,9.699
53.79222,9.408
53.89805,9.063
54.00889,8.850
54.02708,9.002
54.175,8.813
54.26819,8.663
54.41083,8.769
54.50347,9.011
54.71166,8.754
54.8706,8.546
54.77499,8.281
55.05653,8.408
54.91964,8.420
54.8911,8.719
54.865,9.169
54.83333,9.415
54.79111,9.902
54.52374,10.004
54.45389,9.893
54.33743,10.646
54.38451,10.946
