x,y,marks
8072,8970,unaffected
9004,7953,unaffected
8614,8528,unaffected
8575,8840,unaffected
9139,8337,affected
8876,8641,affected
8996,8039,unaffected
9072,8894,unaffected
7898,8892,unaffected
8320,9010,unaffected
9052,8923,unaffected
8846,7633,unaffected
9130,7438,unaffected
9194,6474,unaffected
9338,5737,unaffected
9131,6958,affected
8102,7636,unaffected
9334,6740,unaffected
9183,6073,unaffected
9230,7068,unaffected
8889,7272,unaffected
8639,6916,unaffected
9110,6393,unaffected
8217,5835,unaffected
8167,5609,unaffected
9272,7095,unaffected
8341,6903,unaffected
8458,5106,unaffected
8546,6218,unaffected
9419,4177,affected
9215,4570,unaffected
8685,4497,unaffected
8400,4117,unaffected
9110,5067,unaffected
9310,5450,affected
8175,4862,unaffected
9361,7166,affected
8303,4935,unaffected
8536,4226,unaffected
8598,5377,unaffected
9435,4473,affected
8189,5720,unaffected
8797,4787,unaffected
8789,5006,unaffected
8326,9300,unaffected
8457,4785,unaffected
8326,9541,affected
5101,7115,unaffected
5100,6466,unaffected
8373,9379,unaffected
7042,8761,unaffected
4716,6733,unaffected
4714,6455,unaffected
4492,7463,unaffected
7212,8262,unaffected
5109,6590,unaffected
7209,7467,unaffected
7468,7789,affected
7768,7972,affected
7507,8280,unaffected
7796,7657,unaffected
7639,7009,affected
7237,7299,unaffected
7459,6591,unaffected
7620,6039,unaffected
6934,6918,affected
9149,3588,unaffected
8861,3882,unaffected
7708,5776,unaffected
7119,7784,unaffected
7042,7264,affected
7068,6341,unaffected
7039,6234,affected
8778,3844,unaffected
9485,3319,affected
5683,7046,unaffected
5305,6065,affected
5306,6065,affected
5456,6353,unaffected
4612,6147,unaffected
5717,6023,unaffected
5597,7725,unaffected
5231,7472,unaffected
5385,7052,unaffected
6092,7671,affected
4862,5969,unaffected
6252,8271,unaffected
6720,7541,unaffected
6720,7164,affected
6569,7391,unaffected
6258,7127,unaffected
5952,6278,affected
9558,9403,unaffected
9208,9114,affected
9352,7957,unaffected
7759,6222,affected
9473,8826,unaffected
7505,6024,unaffected
7974,6332,unaffected
7628,6730,unaffected
7634,6229,unaffected
8126,7269,unaffected
9756,9257,unaffected
10070,6739,unaffected
9752,6468,unaffected
10073,8273,unaffected
9405,10431,unaffected
9770,3469,unaffected
10147,8141,unaffected
10100,3085,affected
9262,10068,unaffected
9850,3656,affected
9990,3824,unaffected
9305,9661,unaffected
8831,9393,unaffected
9667,9541,unaffected
9570,9059,unaffected
9656,8356,unaffected
9547,7690,unaffected
9702,4581,affected
9416,9223,unaffected
9502,8846,unaffected
8937,9611,unaffected
10030,4274,unaffected
10263,4790,unaffected
10324,4389,unaffected
10232,7271,unaffected
10292,7562,unaffected
9497,7564,unaffected
9412,7463,unaffected
9722,7065,unaffected
9953,4673,unaffected
9757,5276,affected
9879,6309,unaffected
10061,5937,unaffected
10192,5291,unaffected
9716,6713,unaffected
9699,7240,unaffected
9665,5554,affected
10148,5222,affected
10156,5225,affected
10143,6317,unaffected
10373,3208,affected
