"x","y"
828358.095118832,4602914.15451688
839747.487073944,4608264.82345172
848721.541420242,4617166.68475163
855496.151109461,4628384.60645884
863293.776377588,4625839.17595153
862219.51118011,4619135.46625831
861790.571963459,4614752.21145098
863001.251962839,4607792.63121832
876481.69111488,4610781.68156995
880074.715892752,4615883.47780824
881649.329826851,4619238.44455203
886676.444975821,4619639.51371887
897101.941754142,4621260.78041231
900931.59960325,4622743.20413477
908866.760599012,4624616.19200984
912349.472741823,4625001.41658065
914805.933633842,4625082.51993652
917306.4100716,4625115.42840081
921645.378248239,4625822.71690547
921923.810700841,4631131.46637556
921278.819421254,4643603.34782586
920495.296760799,4646280.69520742
918012.849388588,4653240.31273925
916330.372213548,4656903.58824656
914843.85599985,4659787.09504595
913541.349863365,4661507.28008917
911235.445577812,4664237.08639198
907620.942811527,4668067.06399313
904353.265584572,4669969.03733612
901646.748016683,4670912.60090222
894848.13479132,4670869.03645997
893469.350177304,4668942.49625628
898449.421176759,4664217.98721125
899490.899772654,4667261.96602872
902632.448049373,4667787.84638644
905032.093939338,4665751.06975645
915656.296333822,4652234.51356618
915994.418318083,4643090.8393846
913884.715795722,4638750.11696154
908553.491014256,4635772.04301775
906379.328352756,4634905.27265298
903528.852298696,4634481.18921176
901419.361246948,4633665.25837088
898776.670883341,4632433.39438444
891594.607233129,4628168.28303703
888292.898207935,4628545.1550349
878142.917510732,4632634.20103503
871622.571415688,4637913.67255146
871383.162728582,4641660.21870003
871730.116451153,4644539.45424019
870281.188297024,4652151.07716018
866898.937680493,4653893.86445908
865175.526868449,4653401.87178591
860905.773593222,4654946.73967996
857639.864085899,4658492.98393468
859825.587231399,4665291.88939222
853496.627975728,4682408.5432694
850064.63469469,4685746.89527265
842332.6948924,4688596.9917108
840862.176741355,4686608.56301068
833563.891738296,4684417.16138358
826453.019693071,4691225.28656463
825689.03747809,4698130.89005405
837845.58951348,4714355.01724196
839294.490696888,4718098.39953575
846499.779999914,4720686.92406803
858640.898215715,4725155.83563517
862170.049245576,4731735.10807889
859002.386168906,4735799.97105195
856989.099040996,4734551.59938787
855320.10230111,4732609.97804658
855624.886316611,4730154.43527527
848638.772280345,4731233.40247812
843443.770570705,4737801.76309828
843156.058333982,4740841.20969352
841982.535126687,4755731.12184151
839784.788466084,4754621.93684144
838082.261586025,4754769.72189481
834646.737444885,4756659.05813345
832242.838357785,4756047.30881448
826888.869922039,4753409.04238318
815753.066590503,4747756.32877473
814118.445632863,4746165.91116877
804154.936921605,4734668.64432555
760870.659682995,4733748.39645826
734198.819604527,4733719.95639628
707408.805024137,4733845.03232953
702230.545644912,4733852.12196064
691030.961620783,4733904.21785741
661125.476047641,4734253.09063816
644089.862263513,4734756.34958062
642941.952858445,4734655.72454826
641634.620784236,4733548.17052757
640781.396816578,4730229.26005729
640044.813684795,4727281.47731622
638211.697294889,4719931.82076964
625343.743849879,4668407.85239874
623157.177629232,4659422.16341149
624554.192073504,4657193.95723014
625721.897847454,4656945.03697811
648111.177066592,4656660.21229998
656093.89415186,4656585.37630964
675304.971216237,4656449.29430664
701973.300130522,4656449.93824634
707609.603517245,4656520.98207515
733439.544030958,4657170.09287145
747995.362213272,4657634.89608151
764730.835901953,4657838.69633107
764926.457976225,4655934.33212307
774823.933667647,4656524.94467051
782178.639318783,4656968.95371862
799232.636880506,4658008.00306516
799922.011243681,4649909.7447888
800396.484493649,4644151.9221133
804310.810736981,4632775.38970061
805916.623188334,4630912.22213537
812102.849170661,4625708.85666124
813121.312156063,4624341.32500964
814743.635029432,4626195.8953138
822844.69682618,4633706.28443789
821326.558465101,4629116.85460553
819727.343474747,4625798.88309966
816683.363591079,4620271.91609561
817304.226123012,4620158.85828412
819947.134856801,4619333.57870984
821716.5114169,4617094.27295495
821396.775697679,4614152.40642449
823139.676334666,4602708.54698202
