x,y
823139.6763,4602708.547
821396.7757,4614152.406
821716.5114,4617094.273
819947.1349,4619333.579
817304.2261,4620158.858
816683.3636,4620271.916
819727.3435,4625798.883
821326.5585,4629116.855
822844.6968,4633706.284
814743.635,4626195.895
813121.3122,4624341.325
812102.8492,4625708.857
805916.6232,4630912.222
804310.8107,4632775.39
800396.4845,4644151.922
799922.0112,4649909.745
799232.6369,4658008.003
782178.6393,4656968.954
774823.9337,4656524.945
764926.458,4655934.332
764730.8359,4657838.696
747995.3622,4657634.896
733439.544,4657170.093
707609.6035,4656520.982
701973.3001,4656449.938
675304.9712,4656449.294
656093.8942,4656585.376
648111.1771,4656660.212
625721.8978,4656945.037
624554.1921,4657193.957
623157.1776,4659422.163
625343.7438,4668407.852
638211.6973,4719931.821
640044.8137,4727281.477
640781.3968,4730229.26
641634.6208,4733548.171
642941.9529,4734655.725
644089.8623,4734756.35
661125.476,4734253.091
691030.9616,4733904.218
702230.5456,4733852.122
707408.805,4733845.032
734198.8196,4733719.956
760870.6597,4733748.396
804154.9369,4734668.644
814118.4456,4746165.911
815753.0666,4747756.329
826888.8699,4753409.042
832242.8384,4756047.309
834646.7374,4756659.058
838082.2616,4754769.722
839784.7885,4754621.937
841982.5351,4755731.122
843156.0583,4740841.21
843443.7706,4737801.763
848638.7723,4731233.402
855624.8863,4730154.435
855320.1023,4732609.978
856989.099,4734551.599
859002.3862,4735799.971
862170.0492,4731735.108
858640.8982,4725155.836
846499.78,4720686.924
839294.4907,4718098.4
837845.5895,4714355.017
825689.0375,4698130.89
826453.0197,4691225.287
833563.8917,4684417.161
840862.1767,4686608.563
842332.6949,4688596.992
850064.6347,4685746.895
853496.628,4682408.543
859825.5872,4665291.889
857639.8641,4658492.984
860905.7736,4654946.74
865175.5269,4653401.872
866898.9377,4653893.864
870281.1883,4652151.077
871730.1165,4644539.454
871383.1627,4641660.219
871622.5714,4637913.673
878142.9175,4632634.201
888292.8982,4628545.155
891594.6072,4628168.283
898776.6709,4632433.394
901419.3612,4633665.258
903528.8523,4634481.189
906379.3284,4634905.273
908553.491,4635772.043
913884.7158,4638750.117
915994.4183,4643090.839
915656.2963,4652234.514
905032.0939,4665751.07
902632.448,4667787.846
899490.8998,4667261.966
898449.4212,4664217.987
893469.3502,4668942.496
894848.1348,4670869.036
901646.748,4670912.601
904353.2656,4669969.037
907620.9428,4668067.064
911235.4456,4664237.086
913541.3499,4661507.28
914843.856,4659787.095
916330.3722,4656903.588
918012.8494,4653240.313
920495.2968,4646280.695
921278.8194,4643603.348
921923.8107,4631131.466
921645.3782,4625822.717
917306.4101,4625115.428
914805.9336,4625082.52
912349.4727,4625001.417
908866.7606,4624616.192
900931.5996,4622743.204
897101.9418,4621260.78
886676.445,4619639.514
881649.3298,4619238.445
880074.7159,4615883.478
876481.6911,4610781.682
863001.252,4607792.631
861790.572,4614752.211
862219.5112,4619135.466
863293.7764,4625839.176
855496.1511,4628384.606
848721.5414,4617166.685
839747.4871,4608264.823
828358.0951,4602914.155
