x,y
180640,330080
180560,330160
180440,330240
180280,330280
180120,330240
180000,330200
179760,329920
179560,329720
179400,329640
179240,329600
178880,329600
178760,329640
178640,329720
178520,329840
178480,329960
178440,330120
178440,330200
178480,330440
178520,330520
178680,330720
178800,330880
178880,330960
179040,331040
179080,331080
179080,331160
179120,331240
179360,331480
179360,331520
179400,331600
179520,332040
179560,332120
179680,332240
180000,332320
180240,332400
180520,332680
180600,332840
180680,333080
180760,333240
180840,333400
180920,333520
181160,333760
181560,333200
180440,331000
180400,330840
180400,330720
180440,330560
180680,330320
180720,330240
180720,330080
