x,y
180640,330080
180640,330120
180600,330120
180600,330160
180560,330160
180520,330160
180520,330200
180480,330200
180440,330200
180440,330240
180400,330240
180360,330240
180320,330240
180280,330240
180280,330280
180240,330280
180200,330280
180160,330280
180120,330280
180120,330240
180080,330240
180040,330240
180000,330240
180000,330200
179960,330200
179960,330160
179920,330160
179920,330120
179880,330120
179880,330080
179840,330080
179840,330040
179800,330040
179800,330000
179760,330000
179760,329960
179760,329920
179720,329920
179720,329880
179680,329880
179680,329840
179640,329840
179640,329800
179600,329800
179600,329760
179560,329760
179560,329720
179520,329720
179480,329720
179480,329680
179440,329680
179400,329680
179400,329640
179360,329640
179320,329640
179280,329640
179240,329640
179240,329600
179200,329600
179160,329600
179120,329600
179080,329600
179040,329600
179000,329600
178960,329600
178920,329600
178880,329600
178880,329640
178840,329640
178800,329640
178760,329640
178760,329680
178720,329680
178720,329720
178680,329720
178640,329720
178640,329760
178600,329760
178600,329800
178560,329800
178560,329840
178520,329840
178520,329880
178520,329920
178520,329960
178480,329960
178480,330000
178480,330040
178480,330080
178480,330120
178440,330120
178440,330160
178440,330200
178480,330200
178480,330240
178480,330280
178480,330320
178480,330360
178480,330400
178480,330440
178520,330440
178520,330480
178520,330520
178560,330520
178560,330560
178600,330560
178600,330600
178640,330600
178640,330640
178680,330640
178680,330680
178680,330720
178720,330720
178720,330760
178760,330760
178760,330800
178800,330800
178800,330840
178800,330880
178840,330880
178840,330920
178880,330920
178880,330960
178920,330960
178960,330960
178960,331000
179000,331000
179040,331000
179040,331040
179080,331040
179080,331080
179080,331120
179080,331160
179120,331160
179120,331200
179120,331240
179160,331240
179160,331280
179200,331280
179200,331320
179240,331320
179240,331360
179280,331360
179280,331400
179320,331400
179320,331440
179360,331440
179360,331480
179360,331520
179400,331520
179400,331560
179400,331600
179440,331600
179440,331640
179440,331680
179440,331720
179440,331760
179480,331760
179480,331800
179480,331840
179480,331880
179480,331920
179520,331920
179520,331960
179520,332000
179520,332040
179560,332040
179560,332080
179560,332120
179600,332120
179600,332160
179640,332160
179640,332200
179680,332200
179680,332240
179720,332240
179760,332240
179800,332240
179840,332240
179840,332280
179880,332280
179920,332280
179960,332280
180000,332280
180000,332320
180040,332320
180080,332320
180120,332320
180120,332360
180160,332360
180200,332360
180240,332360
180240,332400
180280,332400
180280,332440
180320,332440
180320,332480
180360,332480
180360,332520
180400,332520
180400,332560
180440,332560
180440,332600
180480,332600
180480,332640
180520,332640
180520,332680
180520,332720
180560,332720
180560,332760
180560,332800
180600,332800
180600,332840
180600,332880
180600,332920
180640,332920
180640,332960
180640,333000
180680,333000
180680,333040
180680,333080
180720,333080
180720,333120
180760,333120
180760,333160
180760,333200
180760,333240
180800,333240
180800,333280
180800,333320
180840,333320
180840,333360
180840,333400
180880,333400
180880,333440
180920,333440
180920,333480
180920,333520
180960,333520
180960,333560
181000,333560
181000,333600
181040,333600
181040,333640
181080,333640
181080,333680
181120,333680
181120,333720
181160,333720
181160,333760
181200,333760
181200,333720
181240,333720
181240,333680
181240,333640
181280,333640
181280,333600
181320,333600
181320,333560
181320,333520
181360,333520
181360,333480
181360,333440
181400,333440
181400,333400
181440,333400
181440,333360
181440,333320
181480,333320
181480,333280
181480,333240
181520,333240
181520,333200
181560,333200
181560,333160
181560,333120
181520,333120
181520,333080
181520,333040
181480,333040
181480,333000
181480,332960
181440,332960
181440,332920
181440,332880
181400,332880
181400,332840
181400,332800
181360,332800
181360,332760
181360,332720
181320,332720
181320,332680
181320,332640
181280,332640
181280,332600
181280,332560
181240,332560
181240,332520
181240,332480
181200,332480
181200,332440
181200,332400
181160,332400
181160,332360
181160,332320
181120,332320
181120,332280
181120,332240
181080,332240
181080,332200
181080,332160
181040,332160
181040,332120
181040,332080
181000,332080
181000,332040
181000,332000
180960,332000
180960,331960
180960,331920
180920,331920
180920,331880
180920,331840
180880,331840
180880,331800
180840,331800
180840,331760
180840,331720
180800,331720
180800,331680
180800,331640
180760,331640
180760,331600
180760,331560
180720,331560
180720,331520
180720,331480
180680,331480
180680,331440
180680,331400
180640,331400
180640,331360
180640,331320
180600,331320
180600,331280
180600,331240
180560,331240
180560,331200
180560,331160
180520,331160
180520,331120
180520,331080
180480,331080
180480,331040
180480,331000
180440,331000
180440,330960
180440,330920
180440,330880
180440,330840
180400,330840
180400,330800
180400,330760
180400,330720
180440,330720
180440,330680
180440,330640
180440,330600
180440,330560
180480,330560
180480,330520
180480,330480
180520,330480
180520,330440
180560,330440
180560,330400
180600,330400
180600,330360
180640,330360
180640,330320
180680,330320
180680,330280
180680,330240
180720,330240
180720,330200
180720,330160
180720,330120
180720,330080
180680,330080
180640,330080
