"Name" "Lat" "Long" "Air" "Soil8" "X" "Y"
"1" "AHTANUM" 46.5 -120.7 40.28 34.23 216.102171100467 5156.25715039776
"2" "Alderdale" 45.85 -119.88 41.85 40.06 276.395777845415 5081.41566829225
"5" "BASIN CITY" 46.6 -119.1 43.3 37.38 339.160664319533 5162.857193809
"6" "BENTON CITY" 46.2 -119.4 44.28 39.42 314.835350667804 5119.06910351056
"8" "BUENA" 46.4 -120.2 43.34 40.15 254.014287692056 5143.46882878278
"10" "CBC-PASCO" 46.2 -119.1 44.89 42.67 337.980478643025 5118.41275011061
"11" "Coffin" 45.99 -119.47 43.14 35.42 308.709704289560 5095.90283374252
"13" "COWICHE" 46.6 -120.7 36.36 31.95 216.623776223083 5167.36766666641
"18" "FINLEY" 46.1 -119 44.38 31.95 345.415757928889 5107.10271455075
"19" "Fishhook" 46.29 -118.74 43.75 31.95 365.974289398689 5127.74058564035
"20" "Fourmile" 45.99 -119.33 45.03 38.17 319.551862838533 5095.57600461229
"21" "GLEED" 46.6 -120.6 38.98 30.58 224.282025013887 5167.0127137362
"22" "GRAMLING" 46.1 -119.2 43.41 41.58 329.957603834087 5107.51114203228
"23" "HORRIGAN" 46 -119.7 43.34 39.61 290.935358429404 5097.5922341056
"24" "Hundred Circle Farms" 45.9 -119.8 41.74 39.88 282.801884704486 5086.74961067382
"25" "K2H" 46.28 -118.64 40.87 35.94 373.653828105472 5126.46520663871
"29" "MATTAWA" 46.7 -119.7 41.94 38.25 293.589263406447 5175.36783202508
"30" "McClure" 46.3 -119.7 41.27 32.13 292.06892664562 5130.92372104165
"31" "McNary" 45.97 -119.25 43.75 38.88 325.684617241390 5093.17574113185
"32" "McWHORTER, 8 MI NW of Benton City, Wa" 46.3 -119.6 43.48 38.79 299.769837783484 5130.66603239681
"33" "MOSES LAKE, 7 MI SE of Moses Lake, Wa" 47 -119.2 40.64 31.95 332.746549545121 5207.51307283762
"34" "MOXEE, 1.5 MI E of Moxee, Wa" 46.5 -120.3 39.87 35.33 246.791956768758 5154.89556060718
"35" "NACHES, 1 MI E of Naches, Wa" 46.7 -120.6 38.82 36.09 224.790341585525 5178.12341596148
"38" "OUTLOOK, 5 Miles North of Outlook, Wa" 46.4 -120.1 44.33 38.97 261.700973291746 5143.16248528634
"39" "PARKER, 1 MI NW of Parker, Wa" 46.5 -120.4 42.37 41.88 239.119446258339 5155.22133692707
"40" "Paterson" 46 -120 43.59 38.93 267.706641489138 5098.42407943924
"42" "PORT OF SUNNYSIDE, 2.6 MI S of Sunnyside, Wa" 46.2 -120 45.3 40.08 268.545750410304 5120.64469807523
"45" "ROYAL CITY, 0.5 MI N of Royal City, Wa" 46.9 -119.6 39.9 37.85 301.969428978066 5197.33340899324
"46" "Roza" 46.29 -119.73 41.74 36.21 289.720359206407 5129.89185607164
"47" "Station2" 45.96 -119.45 45.3 39.4 310.156038374828 5092.52188453675
"48" "Station4" 46.04 -119.41 44.1 31.95 313.524565601351 5101.31561592361
"49" "SUNNYSIDE, 4.2 MI N of Sunnyside, Wa" 46.3 -119.9 45.75 40.53 276.667190955906 5131.46831342856
"51" "TOUCHET, 1.5 MI S of Touchet, Wa" 46 -118.6 44.49 38.66 376.108836582131 5095.29199948116
"52" "WALLA WALLA, 1 MI E of Walla Walla, Wa" 46 -118.2 47.25 43.02 407.081450337762 5094.74748941244
"53" "WAPATO, 3.2 MI W of Wapato, Wa" 46.4 -120.5 41.58 38.89 230.954455874171 5144.4463325906
"54" "Welland" 46.21 -118.73 42.64 37.04 366.550607950685 5118.83495282812
"55" "Wheelhouse" 46.02 -119.52 43.09 36.81 304.943044654258 5099.35728324179
"59" "OTHELLO, 8 MI ESE of Othello, Wa" 46.7 -119 41.09 38.5 347.101667758248 5173.76957977827
"61" "WSU TRI-CITIES, at WSU Tri-Cities Campus, Richland, Wa" 46 -119.2 44.08 43.99 329.650314423098 5096.40064904575
