"lat" "long" "tcatch" "prerec" "recruits" "X" "Y"
"1" 40.55 -71.55 0 0 0 792.142279515685 4494.52655927441
"2" 40.46667 -71.51667 0 0 0 795.330998652235 4485.38540968058
"3" 40.51667 -71.71667 0 0 0 778.164341136328 4490.28610475266
"4" 40.38333 -71.85 1 0 1 767.39535289299 4475.06944428218
"5" 40.31667 -71.78333 0 0 0 773.325052603037 4467.87245338251
"6" 40.26667 -71.88333 0 0 0 765.021977020022 4462.01708888717
"7" 40.13333 -72.08333 2 1 1 748.499531081426 4446.63453299098
"8" 40.06667 -72.16667 0 0 0 741.633893558108 4439.00435905602
"9" 40.1 -72.31667 7 3 4 728.728171636244 4442.30764626559
"10" 40.01667 -72.4 13 6 7 721.894577345614 4432.84596352953
"11" 39.9 -72.56667 530 286 244 708.022196196992 4419.49271026850
"12" 39.81667 -72.48333 2750 2278 472 715.408197743824 4410.44007185605
"13" 39.85 -72.58333 2060 1496 564 706.74798041257 4413.90373730879
"14" 39.81667 -72.68333 1016 382 634 698.287918569628 4409.97740161054
"15" 39.76667 -72.73333 1206 808 398 694.148515043311 4404.31762045074
"16" 39.68333 -72.61667 30 25 5 704.387977470065 4395.32619428407
"17" 39.58333 -72.65 110 59 51 701.819954794098 4384.15067769796
"18" 39.5 -72.53333 0 0 0 712.094495933365 4375.1695098921
"19" 39.43333 -72.63333 0 0 0 703.689527807409 4367.53839825668
"20" 39.46667 -72.66667 722 271 451 700.723966732148 4371.16425248008
"21" 39.43333 -72.73333 41 12 29 695.082044926316 4367.317214583
"22" 39.4 -72.8 39 10 29 689.433740328645 4363.47559805708
"23" 39.31667 -72.73333 0 0 0 695.407191558838 4354.36849566511
"24" 39.33333 -72.85 94 10 84 685.304236909566 4355.97186458079
"25" 39.26667 -72.81667 7 0 7 688.355820263347 4348.64197074973
"26" 39.21667 -72.78333 0 0 0 691.368236250497 4343.16229065705
"27" 38.96667 -72.98333 0 0 0 674.716513687372 4315.01201306433
"28" 38.86667 -73.18333 33 6 27 657.609117163589 4303.54919809004
"29" 38.76667 -73.18333 0 0 0 657.82976187608 4292.45123266035
"30" 38.65 -73.25 0 0 0 652.284548170132 4279.39062754399
"31" 38.6 -73.38333 1 0 1 640.779249762406 4273.6289667521
"32" 38.68333 -73.61667 344 79 265 620.319654932684 4282.54424872605
"33" 38.65 -73.53333 942 326 616 627.627932753422 4278.9582347032
"34" 38.73333 -73.51667 758 150 608 628.928044815987 4288.22896492368
"35" 38.76667 -73.6 83 14 69 621.628246379382 4291.8147646935
"36" 38.81667 -73.7 60 32 28 612.861290839103 4297.23522858873
"37" 38.93333 -73.51667 27 13 14 628.567649991681 4310.42415067253
"38" 38.88333 -73.43333 119 15 104 635.886838057433 4304.99609754459
"39" 38.85 -73.35 482 165 317 643.181835605043 4301.42458790001
"40" 38.93333 -73.28333 151 65 86 648.793596419767 4310.7791828271
"41" 39.01667 -73.48333 20 4 16 631.303508060171 4319.720679316
"42" 39.15 -73.55 16 8 8 625.295249190095 4334.4235499241
"43" 39.13333 -73.45 26 6 20 633.968320027684 4332.71634387673
"44" 39.23333 -73.31667 18 6 12 645.286772412634 4344.02006119969
"45" 39.3 -73.31667 30 3 27 645.14913819907 4351.41948419703
"46" 39.33333 -73.21667 55 7 48 653.69944118217 4355.2839923175
"47" 39.21667 -73.13333 86 18 68 661.1498751666 4342.48118770128
"48" 39.13333 -73.15 1336 880 456 659.899374558069 4333.20207164335
"49" 39.1 -73.18333 239 58 181 657.092414538693 4329.44474780404
"50" 39.01667 -73.15 459 110 349 660.162982413099 4320.2546181715
"51" 39.06667 -73.08333 229 62 167 665.818380965231 4325.92335324867
"52" 39.18333 -73.1 105 62 43 664.10505364554 4338.8406964508
"53" 39.28333 -72.98333 557 251 306 673.935606663562 4350.15734970846
"54" 39.31667 -72.93333 5056 2896 2160 678.163844722372 4353.9551436169
"55" 39.38333 -72.91667 2500 1740 760 679.42954543779 4361.38686349635
"56" 39.38333 -73.11667 264 74 190 662.202995069944 4361.00834991744
"57" 39.51667 -73.11667 10 2 8 661.893779606117 4375.80793598993
