"V1","V2"
917740.746668618,4637151.27756442
911147.304454411,4628510.38374769
902987.351147811,4628981.71956032
876187.615828498,4616740.6547816
875868.211769833,4616719.45859565
866184.227250052,4631648.95932508
867016.26543642,4609785.04702791
857941.353454185,4653806.20013004
855091.26012872,4653519.36641353
853849.259911221,4633974.21326631
851674.330679543,4670329.91301375
846648.968195642,4682882.08331595
843724.050567079,4673157.82550408
843093.100892976,4675261.16358392
837722.983000709,4748107.3115712
837687.673035983,4723015.45456333
837203.5592016,4715488.97289026
838510.412781965,4677977.80971518
837930.600235609,4685577.97638922
835824.047236723,4719846.18971958
836561.952311305,4670200.69779886
832993.797526053,4718291.77922188
832694.321104467,4718469.23038361
834097.715771065,4676699.96619818
830766.568374575,4723949.73922038
831147.8790468,4683840.07663636
832963.120112878,4617353.68851397
829649.732520207,4685498.70350797
829601.523697739,4684720.31159674
827323.763597054,4711663.78801107
826919.261985532,4710485.07160174
825813.44817253,4701971.14507989
825780.149567037,4695960.39863209
824928.056369628,4696713.33227409
824819.782268912,4697176.42971787
824816.354715775,4696439.79936233
824761.538971532,4696866.42550715
824761.309594882,4696716.71667669
824721.167224943,4696514.51323605
824664.737786128,4697048.91398816
824558.420433995,4697015.04057575
824533.194198807,4697195.73308716
824557.9481281,4691665.44092857
824415.346694533,4693851.40912933
824225.899352813,4696134.043565
823567.016621549,4707843.47585802
825516.414151074,4663904.77975312
824010.324822949,4696264.51265527
826399.470453419,4643827.3159442
823931.561882636,4696294.92164476
824264.824593925,4687396.9750033
823602.858063378,4697107.76169528
823452.552618037,4696277.6500162
824421.453515137,4674264.14704682
823376.799589403,4695269.68926885
823207.890243454,4695934.00654593
823094.372451528,4697997.44171595
823089.0646964,4695961.34965787
822970.11051377,4696177.4479387
822950.787441303,4695744.83606639
822807.231348665,4695996.75152101
822522.505065816,4695654.5152415
822307.429487692,4697481.6503069
822409.986854252,4695149.05474431
822300.180172896,4695846.04746117
822258.424965756,4695677.18049357
822163.899889939,4697585.44044764
822189.637296824,4694960.38684736
821946.751207195,4695761.77082671
820728.231652313,4714930.62987904
821291.541689461,4695877.552805
821267.66182137,4695937.33377452
821186.455648824,4695440.46195829
818745.997097645,4746813.77779848
820088.294389951,4714413.32729009
820817.351573706,4697732.41818031
820926.919537822,4694647.71853543
820660.296882192,4694701.93748435
820441.177476202,4696024.62709568
820069.243277371,4698614.50989584
819943.467762967,4699896.07284314
820093.195833333,4696041.41370534
819936.732146871,4696810.73894476
818349.326668481,4731018.20790929
819437.163224321,4703598.41846666
819765.176098337,4694132.8997015
817432.088526743,4744400.6227665
819457.565212371,4699582.69689797
819457.932820535,4698641.51870743
819457.004999252,4698403.64597348
819492.728895309,4695086.79494889
819225.361212096,4700920.93949312
819062.357983014,4696800.17019093
818282.011788725,4712137.16260344
818897.811212066,4695571.81073041
818414.151368033,4702486.82821935
817638.649808986,4713804.97621976
818264.202803536,4694629.94151943
816358.217537592,4729878.47189243
819292.480224426,4659985.20994888
817288.059534173,4696810.02839982
818276.56448444,4672613.54508785
816729.472168298,4702967.29333523
816323.794671625,4710705.1653719
817193.104310307,4690580.7765524
817187.605705121,4688849.36400727
816775.662510251,4696795.58951428
814521.539558859,4739563.70129765
816436.537807922,4697287.59056289
816333.188673331,4695629.31183506
814261.452334033,4739301.88388893
816705.273770499,4681939.85131718
816037.551595482,4685155.2282304
815613.048933946,4692615.24915461
814764.368483447,4700928.00784393
814789.578164378,4699176.74422965
813653.331262025,4718354.25598462
814467.647818771,4697551.74989712
814179.21155311,4696676.00441262
813482.803235025,4704047.94446182
814543.342298226,4676478.18123952
813523.832766552,4693437.01010532
811691.210416726,4710732.26158663
812361.606035979,4695663.16689242
811999.209481237,4691117.83963316
812493.508224591,4672244.3256449
811754.083773634,4681458.46780656
810316.972429424,4706365.23481648
810666.687715651,4692950.31496478
809721.807299332,4706961.92720843
810376.133735522,4689193.78227201
808468.74685607,4692735.17918078
806309.716499918,4710866.62788225
804591.918163327,4720985.95593998
805393.66726462,4689509.34995155
805274.570434847,4689287.07860265
805310.290516089,4659895.60566532
801987.680612236,4725704.50640344
805336.029975008,4633368.32037957
799623.448887476,4706827.06744724
798217.559832129,4725445.084704
799645.75538318,4691356.59135074
797877.730638547,4689302.03463521
797031.604186284,4689262.23030975
796996.656588656,4673011.46138491
793674.537840908,4718932.83496142
794860.557682111,4689305.06113448
794410.580431174,4695962.5983249
791515.138601067,4708600.13377647
786873.992562052,4688095.37420687
784515.303760615,4694055.2435818
780923.502526469,4693045.07277539
779431.020087091,4686967.23580163
779474.149250908,4685428.43018175
778739.561132835,4694547.24159011
769949.538130163,4712960.41112196
767939.026665434,4713241.24663671
764435.722731433,4684298.78120372
763218.987192463,4686756.20605261
761546.946996879,4677784.63585451
705693.954132802,4660113.37338938
704186.184702999,4694659.49628756
702143.616603987,4658967.12801698
700165.512304232,4672026.71973834
699710.755010029,4663230.61242161
695093.568820271,4687780.57327303
694967.114125122,4688990.70616191
694933.766706396,4671058.44075133
687842.291475415,4664978.28580476
649176.731592017,4711882.25967047
648032.313923294,4703010.7501106
