x,y
-94.951,29.326
-94.892,29.394
-94.683,29.433
-94.066,29.674
-93.835,29.675
-93.952,29.819
-93.857,29.965
-93.76,30.006
-93.713,30.061
-93.699,30.141
-93.7,30.151
-93.705,30.181
-93.73,30.305
-93.743,30.409
-93.735,30.546
-93.718,30.588
-93.693,30.64
-93.66,30.673
-93.618,30.687
-93.551,30.829
-93.507,31.039
-93.551,31.191
-93.661,31.373
-93.82,31.618
-93.792,31.712
-93.835,31.802
-93.881,31.872
-93.899,31.895
-93.977,31.946
-94.035,31.995
-94.042,32.882
-94.039,33.023
-94.037,33.27
-94.036,33.556
-94.062,33.577
-94.087,33.584
-94.16,33.594
-94.237,33.593
-94.279,33.589
-94.429,33.597
-94.742,33.701
-94.858,33.749
-94.909,33.804
-94.918,33.816
-94.94,33.841
-94.969,33.866
-95.128,33.941
-95.234,33.965
-95.252,33.937
-95.251,33.905
-95.264,33.898
-95.287,33.887
-95.33,33.871
-95.826,33.843
-95.959,33.865
-96.142,33.82
-96.169,33.769
-96.187,33.759
-96.317,33.702
-96.348,33.706
-96.488,33.778
-96.601,33.843
-96.879,33.884
-96.988,33.877
-97.006,33.851
-97.091,33.732
-97.116,33.726
-97.153,33.729
-97.189,33.753
-97.209,33.82
-97.195,33.836
-97.314,33.896
-97.671,33.989
-97.705,33.972
-97.757,33.932
-97.791,33.891
-97.853,33.857
-97.87,33.855
-97.955,33.884
-97.977,33.903
-98.056,33.99
-98.111,34.07
-98.173,34.115
-98.321,34.14
-98.351,34.142
-98.385,34.116
-98.558,34.105
-98.892,34.161
-99.128,34.202
-99.177,34.213
-99.191,34.224
-99.205,34.256
-99.197,34.305
-99.206,34.332
-99.268,34.398
-99.365,34.45
-99.393,34.429
-99.48,34.384
-99.602,34.369
-99.685,34.378
-99.996,34.562
-99.999,34.747
-99.996,35.031
-99.995,35.425
-99.998,36.058
-100.002,36.493
-100.007,36.494
-100.55,36.489
-101.09,36.488
-101.621,36.492
-102.035,36.493
-102.166,36.49
-102.997,36.492
-103.027,36.492
-103.024,36.056
-103.023,35.742
-103.022,35.624
-103.025,34.965
-103.03,34.308
-103.033,33.826
-103.049,32.954
-103.06,32.516
-103.056,32.085
-103.058,32.002
-104.851,32.003
-106.003,32.002
-106.378,32.001
-106.624,32.001
-106.65,31.98
-106.644,31.895
-106.615,31.818
-106.54,31.786
-106.384,31.734
-106.213,31.478
-105.999,31.394
-105.77,31.171
-105.391,30.853
-105.314,30.817
-105.259,30.798
-105.215,30.812
-104.891,30.571
-104.853,30.392
-104.814,30.351
-104.703,30.239
-104.675,30.149
-104.697,30.057
-104.675,29.909
-104.536,29.68
-104.378,29.551
-104.165,29.401
-104.046,29.328
-103.783,29.23
-103.527,29.147
-103.475,29.072
-103.376,29.032
-103.154,28.979
-102.989,29.191
-102.883,29.354
-102.805,29.53
-102.677,29.744
-102.577,29.778
-102.368,29.845
-102.064,29.785
-101.925,29.789
-101.819,29.814
-101.759,29.787
-101.64,29.757
-101.539,29.763
-101.471,29.789
-101.255,29.629
-101.262,29.527
-101.009,29.373
-100.797,29.243
-100.669,29.08
-100.59,28.894
-100.498,28.661
-100.298,28.281
-100.214,28.202
-100.097,28.155
-99.942,27.987
-99.875,27.798
-99.715,27.662
-99.55,27.613
-99.491,27.491
-99.466,27.27
-99.455,27.029
-99.391,26.947
-99.286,26.858
-99.102,26.489
-99.107,26.42
-98.94,26.396
-98.82,26.375
-98.6,26.261
-98.328,26.112
-98.201,26.056
-98.04,26.06
-97.868,26.06
-97.648,26.024
-97.613,25.962
-97.59,25.934
-97.435,25.846
-97.386,25.846
-97.172,25.955
-97.253,26.069
-97.354,26.183
-97.475,26.477
-97.426,26.519
-97.496,26.794
-97.558,26.846
-97.569,26.978
-97.504,27.082
-97.427,27.265
-97.413,27.321
-97.25,27.689
-97.196,27.813
-97.024,28.021
-96.951,28.115
-96.804,28.212
-96.391,28.434
-96.491,28.557
-96.376,28.61
-96.364,28.618
-96.326,28.634
-95.984,28.653
-95.938,28.691
-95.787,28.739
-95.672,28.753
-95.683,28.727
-95.527,28.803
-95.249,28.979
-95.198,29.105
-95.161,29.2
-95.067,29.196
-94.951,29.326
