"x" "y"
"1" 13.03 10.58
"2" 44.28 19.93
"3" 15.96 2.64
"4" 27.7 9.61
"5" 35.4 6.82
"6" 4.61 9.63
"7" 24.23 24.19
"8" 38.37 9.26
"9" 35.63 5.07
"10" 21.98 20.9
"11" 28.17 18.35
"12" 39.79 25.07
"13" 37.38 9.79
"14" 17.2 15.61
"15" 18.11 16.63
"16" 25.35 22.31
"17" 33.13 10.63
"18" 19.11 6.99
"19" 29.75 1.48
"20" 31.09 14.73
"21" 9.92 8.53
"22" 18.12 9.66
"23" 42.33 20.22
"24" 9.32 7.23
"25" 29.07 19.34
"26" 22.98 20.51
"27" 40.62 8.22
"28" 29.63 0.36
"29" 21.56 3.34
"30" 38.42 13.61
"31" 17.2 1.84
"32" 21.91 22.82
"33" 11.96 10.61
"34" 47.85 17.48
"35" 11.82 2.59
"36" 3.48 0.31
"37" 7.62 13.03
"38" 48.03 22.1
"39" 18.32 9.85
"40" 10.91 4.32
"41" 20.11 14.75
"42" 16.51 18
"43" 25.74 10.42
"44" 43.01 18.3
"45" 29.76 18.14
"46" 30.33 13.75
"47" 0.34 5.6
"48" 21.8 20.18
"49" 30.46 19.21
"50" 12.65 16.49
"51" 14.35 9.65
"52" 18.36 2.76
"53" 35.07 28.51
"54" 49.51 18.15
"55" 39.56 11.72
"56" 2.09 7.06
"57" 42.41 19.44
"58" 41.2 25.6
"59" 12.42 17.77
"60" 26.31 14.42
"61" 43.46 13.2
"62" 43.62 23.92
"63" 23.94 9.49
"64" 22.79 2.87
"65" 41.52 7.06
"66" 35.5 25.67
"67" 28.93 3.93
"68" 31.37 14.11
"69" 9.55 5.93
"70" 18.99 7.45
"71" 17.24 5.13
"72" 10.09 13.26
"73" 1.86 3.33
"74" 19.33 0.02
"75" 21.48 20.83
"76" 32.85 15.16
"77" 34.1 18.28
"78" 18.4 18.61
"79" 49.12 17.39
"80" 34.41 21.6
"81" 33.34 29.37
"82" 29.11 4.69
"83" 9.07 9.21
"84" 17.26 10.38
"85" 43.69 25.79
"86" 26.05 11.67
"87" 48.82 16.22
"88" 6.97 11.63
"89" 20.99 16.6
"90" 8.9 10.96
"91" 32.53 29.24
"92" 37.15 17.45
"93" 38.45 7.26
"94" 24.85 4.85
"95" 29.1 23.39
"96" 23.27 14.28
"97" 47.68 21.83
"98" 9.3 6.76
"99" 10.29 13.37
"100" 11.13 8.25
"101" 42.45 23.68
"102" 1.77 1.49
"103" 15.13 10.58
"104" 21.05 23.27
"105" 6.88 5.56
"106" 48.72 18.92
"107" 13.1 11.44
"108" 11.62 1.22
"109" 33.91 16.13
"110" 19.1 18.64
"111" 36.34 12.69
"112" 25.7 2.83
"113" 33.66 24.42
"114" 30.8 24.33
"115" 0.66 3.9
"116" 14.51 16.26
"117" 43.71 20.1
"118" 40.11 7.04
"119" 39.49 23.13
"120" 12.53 6.57
"121" 28.07 4.75
"122" 33.99 12.61
"123" 17.17 7.86
"124" 24.81 2.72
"125" 12.77 1.88
"126" 0.02 5.58
"127" 7.18 7.09
"128" 33.71 19.36
"129" 27.15 2.65
"130" 32 2.81
"131" 16.66 14.34
"132" 28.63 26.23
"133" 17.93 15.2
"134" 43.77 15.79
"135" 40.87 7.66
"136" 21.02 10.7
"137" 45.91 18.16
"138" 25.1 5.45
