yyyy,mm,tmean,rain
1961,1,4.2,86.1
1961,2,7.6,53.4
1961,3,8.7,4.5
1961,4,10.7,75.9
1961,5,11.8,28
1961,6,15.6,33.9
1961,7,16.5,54.3
1961,8,16.6,59.1
1961,9,16,56.9
1961,10,11.3,67.7
1961,11,6.2,36.9
1961,12,2.5,97.8
1962,1,4.6,94.7
1962,2,4.6,10.3
1962,3,3.3,32.4
1962,4,8.3,50.7
1962,5,10.9,38.6
1962,6,14.6,5.5
1962,7,16,54.6
1962,8,15.5,96.1
1962,9,13.3,115
1962,10,10.8,29.6
1962,11,5.6,55.1
1962,12,1.3,50.4
1963,1,-3,27.9
1963,2,-0.7,10.4
1963,3,6.5,75.9
1963,4,9.5,50.4
1963,5,11.3,43.6
1963,6,15.5,65.9
1963,7,15.9,48
1963,8,15,81.4
1963,9,13.7,58
1963,10,11.6,44.4
1963,11,8.9,115.4
1963,12,2.5,18.6
1964,1,3.4,13
1964,2,5,22.2
1964,3,4.7,92.6
1964,4,9.2,59.5
1964,5,14,44.4
1964,6,14.7,49.3
1964,7,17.4,21.2
1964,8,16.8,14.6
1964,9,15.1,15.5
1964,10,9.1,17.5
1964,11,7.8,25
1964,12,3.8,43.7
1965,1,3.8,56
1965,2,3.1,5.8
1965,3,6,44.2
1965,4,8.8,49.4
1965,5,12.4,63.8
1965,6,15,53.4
1965,7,14.8,90
1965,8,15.6,61.7
1965,9,13,75.4
1965,10,11.1,12
1965,11,5,51.2
1965,12,5.3,95.5
1966,1,2.9,30.8
1966,2,6.8,74.9
1966,3,7,9.9
1966,4,8.1,81.7
1966,5,11.8,54
1966,6,16.1,56.6
1966,7,15.8,80.9
1966,8,15.5,78.8
1966,9,14.4,52.5
1966,10,11.1,122.7
1966,11,5.6,28
1966,12,6.1,80.4
1967,1,4.9,35.5
1967,2,5.9,64.3
1967,3,7.7,30.7
1967,4,8.4,40.4
1967,5,11.6,85.6
1967,6,14.7,49.3
1967,7,17.9,76.6
1967,8,16.5,44
1967,9,14.3,59.4
1967,10,11.5,121.7
1967,11,6,29.2
1967,12,4.6,63.3
1968,1,4.7,57.9
1968,2,2.3,26.8
1968,3,7.2,19.5
1968,4,8.7,46.1
1968,5,10.6,66.2
1968,6,15.7,69.2
1968,7,15.9,141.6
1968,8,15.9,91.7
1968,9,14.6,108.3
1968,10,13.2,67.7
1968,11,6.8,54.5
1968,12,3.1,63.6
1969,1,6.1,74.9
1969,2,1.7,39.9
1969,3,4.2,48.3
1969,4,8.4,37
1969,5,12.4,88.8
1969,6,14.7,20.7
1969,7,18.2,49
1969,8,17.3,87.9
1969,9,14.3,32.8
1969,10,13.3,5
1969,11,6.1,52
1969,12,3.6,72.9
1970,1,4.3,66.6
1970,2,3.6,49.2
1970,3,4.1,45.8
1970,4,7.6,75.9
1970,5,13.8,22.9
1970,6,17,43
1970,7,16.2,42.3
1970,8,16.6,51.9
1970,9,15.3,40.3
1970,10,11.2,19.5
1970,11,8.5,150.3
1970,12,4.3,33.9
1971,1,4.9,105.3
1971,2,4.7,22.1
1971,3,5.5,42.9
1971,4,8.2,44.8
1971,5,12.4,46.3
1971,6,13.1,135.8
1971,7,18.2,37.3
1971,8,16.5,133.2
1971,9,14.7,13.4
1971,10,11.6,74.2
1971,11,6.4,61.3
1971,12,6.7,24
1972,1,4.2,60.5
1972,2,4.8,50.8
1972,3,7.3,63.2
1972,4,8.8,45.8
1972,5,11.3,49.8
1972,6,12.7,55.8
1972,7,16.4,23.3
1972,8,16.2,29.8
1972,9,12.4,31
1972,10,11.1,25.9
1972,11,6.7,65.8
1972,12,6.1,74
1973,1,4.5,24.4
1973,2,4.5,15
1973,3,6.6,10.8
1973,4,8.2,42.4
1973,5,12.2,71.2
1973,6,15.9,109.3
1973,7,16.5,60
1973,8,17.7,28.8
1973,9,15.4,32.7
1973,10,9.2,40.8
1973,11,6.5,28.3
1973,12,5.3,30.9
1974,1,6.5,65
1974,2,5.9,77.7
1974,3,5.9,36.7
1974,4,8.4,4.2
1974,5,11.5,31.6
1974,6,14.6,78.7
1974,7,16.2,41.7
1974,8,16,97.2
1974,9,12.8,156.1
1974,10,8,66.4
1974,11,7.6,95.1
1974,12,8.3,33.4
1975,1,7.2,69.4
1975,2,4.9,29.7
1975,3,5.2,95.2
1975,4,9.1,46.9
