Year,Rain,Yield,x x y
1930,38,2.1,79.8
1931,69,2.1,144.9
1932,79,2.7,213.3
1933,88,2.5,220
1934,98,1.4,137.2
1935,85,2.4,204
1936,13,1.3,16.9
1937,67,2.8,187.6
1938,108,2.9,313.2
1939,80,3.3,264
1940,116,3.3,382.8
1941,57,3.2,182.4
1942,124,3.8,471.2
1943,116,3.4,394.4
1944,95,3.3,313.5
1945,75,2.7,202.5
1946,62,3.6,223.2
1947,44,1.9,83.6
1948,105,3.8,399
1949,88,2.9,255.2
1950,118,3.0,354
1951,113,2.7,305.1
1952,98,3.9,382.2
1953,83,3.3,273.9
1954,45,3.4,153
1955,84,3.0,252
1956,115,3.3,379.5
1957,90,3.9,351
1958,192,4.1,787.2
1959,58,4.0,232
1960,70,4.0,280
1961,140,4.7,658
1962,159,4.8,763.2
,,,
Mean,90,3,
Standard Deviation,35.54,0.83,
,,,
,33,SP xy,9859.8
,,,
,,,538.5272727
,,,943.3211101
,,,
,,,0.570884365
,,,0.570884365
