Country,Life_exp,GDP_percap
Afghanistan,48.673,1246.891264
Albania,76.918,6850.075456
Algeria,73.131,6406.816621
Angola,51.093,5519.183179
Argentina,75.901,15741.04577
Armenia,74.241,4748.928585
Australia,81.907,34642.38813
Austria,80.854,36871.07135
Azerbaijan,70.739,9387.389497
Bahamas,75.62,21470.8042
Bahrain,75.057,23881.14708
Bangladesh,68.944,1669.874271
Barbados,76.835,16173.65009
Belarus,70.349,13224.02729
Belgium,80.009,33047.96242
Belize,76.072,7255.005226
Benin,56.081,1457.215648
Bhutan,67.185,5640.904567
Bolivia,66.618,4171.368213
Bosnia and Herzegovina,75.67,7750.162585
Botswana,53.183,13625.11538
Brazil,73.488,10373.40637
Brunei,78.005,43563.74355
Bulgaria,73.371,11285.56666
Burkina Faso,55.439,1343.485463
Burundi,50.411,484.1486441
Cambodia,63.125,1949.589584
Cameroon,51.61,2033.232876
Canada,81.012,35689.57119
Cape Verde,74.156,3787.64164
Central African Rep.,48.398,694.7216694
Chad,49.553,1745.674492
Chile,79.12,14620.87251
China,73.456,8848.092267
Colombia,73.703,7767.635065
Comoros,61.061,1023.898606
"Congo, Dem. Rep.",48.397,387.2228377
"Congo, Rep.",57.379,4110.534283
Costa Rica,79.311,10427.73936
Cote d'Ivoire,55.377,1397.877332
Croatia,76.64,13920.2729
Cuba,79.143,9565.88509
Cyprus,79.591,25405.82581
Czech Rep.,77.685,22859.95475
Denmark,78.826,32868.96138
Djibouti,57.937,2241.510659
Dominican Rep.,73.396,6838.858919
Ecuador,75.632,7681.539165
Egypt,73.235,6116.613731
El Salvador,72.196,5644.163417
Equatorial Guinea,51.088,15459.99331
Eritrea,61.597,591.4616877
Estonia,74.825,18016.32406
Ethiopia,59.274,900.3506904
Fiji,69.245,4122.413982
Finland,79.977,31975.60544
France,81.539,30235.35994
Gabon,62.703,13905.66763
Gambia,58.491,798.5520528
Georgia,73.737,4659.383245
Germany,80.414,33734.80896
Ghana,64.228,1641.301117
Greece,79.915,23605.6187
Grenada,75.956,8766.126597
Guatemala,71.172,5241.33997
Guinea,54.097,949.0182377
Guinea-Bissau,48.132,608.155706
Guyana,69.927,4082.566975
Haiti,62.095,1193.865472
Honduras,73.126,3517.317771
"Hong Kong, China",82.759,43928.42616
Hungary,74.414,17329.59545
Iceland,81.804,33948.1247
India,65.438,3162.610577
Indonesia,69.366,4179.346906
Iran,72.974,12474.99376
Iraq,69.042,3707.732846
Ireland,80.557,34420.46598
Israel,81.618,26957.71866
Italy,81.855,26559.13559
Jamaica,73.127,6969.563611
Japan,83.394,30487.93851
Jordan,73.403,5210.274259
Kazakhstan,67.017,11523.6711
Kenya,57.134,1496.46728
"Korea, Dem. Rep.",68.846,1548.614233
"Korea, Rep.",80.642,26206.25048
Kuwait,74.576,44729.86103
Kyrgyzstan,67.714,2111.718703
Laos,67.484,2578.501477
Latvia,73.339,13854.82343
Lebanon,72.64,13488.89028
Lesotho,48.196,1874.847007
Liberia,56.786,425.3636988
Libya,74.788,4768.409973
Lithuania,72.231,16400.33254
Luxembourg,79.963,70061.72973
"Macao, China",80.934,88084.11401
"Macedonia, FYR",74.847,8896.087269
Madagascar,66.718,976.3200262
Malawi,54.21,865.5453157
Malaysia,74.221,13836.95592
Maldives,76.848,5818.923516
Mali,51.444,1116.709
Malta,79.634,22116.1479
Mauritania,58.582,1838.793541
Mauritius,73.373,12771.75529
Mexico,76.954,11684.30345
Moldova,69.317,2964.135109
Mongolia,68.498,3865.370879
Montenegro,74.573,10022.8256
Morocco,72.15,4409.379505
Mozambique,50.239,999.7113477
Myanmar,65.193,1590.148164
Namibia,62.465,5338.596969
Nepal,68.795,1306.706464
Netherlands,80.734,36895.83657
New Zealand,80.654,24031.04992
Nicaragua,74.044,2887.962991
Niger,54.675,668.0272153
Nigeria,51.879,2396.619715
Norway,81.097,46882.0523
Oman,72.974,24334.00491
Pakistan,65.437,2640.2578
Panama,76.128,12502.25326
Papua New Guinea,62.791,2203.599744
Paraguay,72.477,4687.691766
Peru,73.99,8864.580289
Philippines,68.749,3441.423595
Poland,76.126,17928.33417
Portugal,79.499,19905.95479
Qatar,78.371,93818.23864
Romania,73.979,10964.41656
Russia,68.823,14737.6336
Rwanda,55.442,1123.549329
Saint Lucia,74.641,10598.28453
Saint Vincent and the Grenadines,72.283,6919.035187
Samoa,72.444,4998.46061
Sao Tome and Principe,64.666,1890.427614
Saudi Arabia,73.911,21364.37368
Senegal,59.318,1766.998991
Serbia,74.522,9719.433468
Sierra Leone,47.794,924.4083304
Singapore,81.126,49683.2671
Slovak Republic,75.446,20364.90799
Slovenia,79.341,24873.73192
Solomon Islands,67.852,2011.500364
Somalia,51.219,943.0354535
South Africa,52.797,9482.090663
Spain,81.404,26766.86177
Sri Lanka,74.941,4901.338429
Sudan,61.452,3181.925891
Suriname,70.563,8706.313971
Swaziland,48.718,4728.593817
Sweden,81.439,34395.31413
Switzerland,82.338,37942.46843
Syria,75.85,4520
Tajikistan,67.529,1842.569444
Tanzania,58.199,1348.364979
Thailand,74.126,7982.61119
Timor-Leste,62.475,3228.411157
Togo,57.062,933.1801283
Tonga,72.317,4885.708667
Trinidad and Tobago,70.124,17459.84975
Tunisia,74.515,7520.825528
Turkey,73.979,9148.331148
Turkmenistan,64.986,7256.552248
Uganda,54.116,1277.8056
Ukraine,68.494,6379.581124
United Arab Emirates,76.546,31984.85115
United Kingdom,80.17,31330.47724
United States,78.531,41728.14089
Uruguay,77.005,12741.79202
Uzbekistan,68.287,2947.204002
Vanuatu,71.017,4028.232055
Venezuela,74.402,10958.04836
Vietnam,75.181,2961.834605
"Yemen, Rep.",65.493,2102.216461
Zambia,49.025,1476.934829
Zimbabwe,51.384,511.2584075
