Month,"Rate, %"
Apr-53,2.83
May-53,3.05
Jun-53,3.11
Jul-53,2.93
Aug-53,2.95
Sep-53,2.87
Oct-53,2.66
Nov-53,2.68
Dec-53,2.59
Jan-54,2.48
Feb-54,2.47
Mar-54,2.37
Apr-54,2.29
May-54,2.37
Jun-54,2.38
Jul-54,2.3
Aug-54,2.36
Sep-54,2.38
Oct-54,2.43
Nov-54,2.48
Dec-54,2.51
Jan-55,2.61
Feb-55,2.65
Mar-55,2.68
Apr-55,2.75
May-55,2.76
Jun-55,2.78
Jul-55,2.9
Aug-55,2.97
Sep-55,2.97
Oct-55,2.88
Nov-55,2.89
Dec-55,2.96
Jan-56,2.9
Feb-56,2.84
Mar-56,2.96
Apr-56,3.18
May-56,3.07
Jun-56,3
Jul-56,3.11
Aug-56,3.33
Sep-56,3.38
Oct-56,3.34
Nov-56,3.49
Dec-56,3.59
Jan-57,3.46
Feb-57,3.34
Mar-57,3.41
Apr-57,3.48
May-57,3.6
Jun-57,3.8
Jul-57,3.93
Aug-57,3.93
Sep-57,3.92
Oct-57,3.97
Nov-57,3.72
Dec-57,3.21
Jan-58,3.09
Feb-58,3.05
Mar-58,2.98
Apr-58,2.88
May-58,2.92
Jun-58,2.97
Jul-58,3.2
Aug-58,3.54
Sep-58,3.76
Oct-58,3.8
Nov-58,3.74
Dec-58,3.86
Jan-59,4.02
Feb-59,3.96
Mar-59,3.99
Apr-59,4.12
May-59,4.31
Jun-59,4.34
Jul-59,4.4
Aug-59,4.43
Sep-59,4.68
Oct-59,4.53
Nov-59,4.53
Dec-59,4.69
Jan-60,4.72
Feb-60,4.49
Mar-60,4.25
Apr-60,4.28
May-60,4.35
Jun-60,4.15
Jul-60,3.9
Aug-60,3.8
Sep-60,3.8
Oct-60,3.89
Nov-60,3.93
Dec-60,3.84
Jan-61,3.84
Feb-61,3.78
Mar-61,3.74
Apr-61,3.78
May-61,3.71
Jun-61,3.88
Jul-61,3.92
Aug-61,4.04
Sep-61,3.98
Oct-61,3.92
Nov-61,3.94
Dec-61,4.06
Jan-62,4.08
Feb-62,4.04
Mar-62,3.93
Apr-62,3.84
May-62,3.87
Jun-62,3.91
Jul-62,4.01
Aug-62,3.98
Sep-62,3.98
Oct-62,3.93
Nov-62,3.92
Dec-62,3.86
Jan-63,3.83
Feb-63,3.92
Mar-63,3.93
Apr-63,3.97
May-63,3.93
Jun-63,3.99
Jul-63,4.02
Aug-63,4
Sep-63,4.08
Oct-63,4.11
Nov-63,4.12
Dec-63,4.13
Jan-64,4.17
Feb-64,4.15
Mar-64,4.22
Apr-64,4.23
May-64,4.2
Jun-64,4.17
Jul-64,4.19
Aug-64,4.19
Sep-64,4.2
Oct-64,4.19
Nov-64,4.15
Dec-64,4.18
Jan-65,4.19
Feb-65,4.21
Mar-65,4.21
Apr-65,4.2
May-65,4.21
Jun-65,4.21
Jul-65,4.2
Aug-65,4.25
Sep-65,4.29
Oct-65,4.35
Nov-65,4.45
Dec-65,4.62
Jan-66,4.61
Feb-66,4.83
Mar-66,4.87
Apr-66,4.75
May-66,4.78
Jun-66,4.81
Jul-66,5.02
Aug-66,5.22
Sep-66,5.18
Oct-66,5.01
Nov-66,5.16
Dec-66,4.84
Jan-67,4.58
Feb-67,4.63
Mar-67,4.54
Apr-67,4.59
May-67,4.85
