Date,Dow Jones
Jun-99,10970.8
Jul-99,10655.2
Aug-99,10829.3
Sep-99,10337
Oct-99,10729.9
Nov-99,10877.8
Dec-99,11497.1
Jan-00,10940.5
Feb-00,10128.3
Mar-00,10921.9
Apr-00,10733.9
May-00,10522.3
Jun-00,10447.9
Jul-00,10522
Aug-00,11215.1
Sep-00,10650.9
Oct-00,10971.1
Nov-00,10414.5
Dec-00,10788
Jan-01,10887.4
Feb-01,10495.3
Mar-01,9878.78
Apr-01,10735
May-01,10911.9
Jun-01,10502.4
Jul-01,10522.8
Aug-01,9949.75
Sep-01,8847.56
Oct-01,9075.14
Nov-01,9851.56
Dec-01,10021.6
Jan-02,9920
Feb-02,10106.1
Mar-02,10403.9
Apr-02,9946.22
May-02,9925.25
Jun-02,9243.26
Jul-02,8736.59
Aug-02,8663.5
Sep-02,7591.93
Oct-02,8397.03
Nov-02,8896.09
Dec-02,8341.63
Jan-03,8053.81
Feb-03,7891.08
Mar-03,7992.13
Apr-03,8480.09
May-03,8850.26
Jun-03,8985.44
Jul-03,9233.8
Aug-03,9415.82
Sep-03,9275.06
Oct-03,9801.12
Nov-03,9782.46
Dec-03,10453.9
Jan-04,10488.1
Feb-04,10583.9
Mar-04,10357.7
Apr-04,10225.6
May-04,10188.5
Jun-04,10435.5
Jul-04,10139.7
Aug-04,10173.9
Sep-04,10080.3
Oct-04,10027.5
Nov-04,10428
Dec-04,10783
Jan-05,10489.9
Feb-05,10766.2
Mar-05,10503.8
Apr-05,10192.5
May-05,10467.5
Jun-05,10275
Jul-05,10640.9
Aug-05,10481.6
Sep-05,10568.7
Oct-05,10440.1
Nov-05,10805.9
Dec-05,10717.5
Jan-06,10864.9
Feb-06,10993.4
Mar-06,11109.3
Apr-06,11367.1
May-06,11168.3
Jun-06,11247.9
