Year,Sunspot Number
1700,5.1
1701,11.1
1702,16.1
1703,23.1
1704,36.1
1705,58.1
1706,29.1
1707,20.1
1708,10.1
1709,8.1
1710,3.1
1711,0.1
1712,0.1
1713,2.1
1714,11.1
1715,27.1
1716,47.1
1717,63.1
1718,60.1
1719,39.1
1720,28.1
1721,26.1
1722,22.1
1723,11.1
1724,21.1
1725,40.1
1726,78.1
1727,122.1
1728,103.1
1729,73.1
1730,47.1
1731,35.1
1732,11.1
1733,5.1
1734,16.1
1735,34.1
1736,70.1
1737,81.1
1738,111.1
1739,101.1
1740,73.1
1741,40.1
1742,20.1
1743,16.1
1744,5.1
1745,11.1
1746,22.1
1747,40.1
1748,60.1
1749,81
1750,83.5
1751,47.8
1752,47.9
1753,30.8
1754,12.3
1755,9.7
1756,10.3
1757,32.5
1758,47.7
1759,54.1
1760,63
1761,86
1762,61.3
1763,45.2
1764,36.5
1765,21
1766,11.5
1767,37.9
1768,69.9
1769,106.2
1770,100.9
1771,81.7
1772,66.6
1773,34.9
1774,30.7
1775,7.1
1776,19.9
1777,92.6
1778,154.5
1779,126
1780,84.9
1781,68.2
1782,38.6
1783,22.9
1784,10.3
1785,24.2
1786,83
1787,132.1
1788,131
1789,118.2
1790,90
1791,66.7
1792,60.1
1793,47
1794,41.1
1795,21.4
1796,16.1
1797,6.5
1798,4.2
1799,6.9
1800,14.6
1801,34.1
1802,45.1
1803,43.2
1804,47.6
1805,42.3
1806,28.2
1807,10.2
1808,8.2
1809,2.6
1810,0.1
1811,1.5
1812,5.1
1813,12.3
1814,14
1815,35.5
1816,45.9
1817,41.1
1818,30.2
1819,24
1820,15.7
1821,6.7
1822,4.1
1823,1.9
1824,8.6
1825,16.7
1826,36.4
1827,49.7
1828,64.3
1829,67.1
1830,71
1831,47.9
1832,27.6
1833,8.6
1834,13.3
1835,57
1836,121.6
1837,138.4
1838,103.3
1839,85.8
1840,64.7
1841,36.8
1842,24.3
1843,10.8
1844,15.1
1845,40.2
1846,61.6
1847,98.6
1848,124.8
1849,96.4
1850,66.7
1851,64.6
1852,54.2
1853,39.1
1854,20.7
1855,6.8
1856,4.4
1857,22.8
1858,54.9
1859,93.9
1860,95.9
1861,77.3
1862,59.2
1863,44.1
1864,47.1
1865,30.6
1866,16.4
1867,7.4
1868,37.7
1869,74.1
1870,139.1
1871,111.3
1872,101.7
1873,66.3
1874,44.8
1875,17.1
1876,11.4
1877,12.5
1878,3.5
1879,6.1
1880,32.4
1881,54.4
1882,59.8
1883,63.8
1884,63.6
1885,52.3
1886,25.5
1887,13.2
1888,6.9
1889,6.4
1890,7.2
1891,35.7
1892,73.1
1893,85.2
1894,78.1
1895,64.1
1896,41.9
1897,26.3
1898,26.8
1899,12.2
1900,9.6
1901,2.8
1902,5.1
1903,24.5
1904,42.1
1905,63.6
1906,53.9
1907,62.1
1908,48.6
1909,44
1910,18.7
1911,5.8
1912,3.7
1913,1.5
1914,9.7
1915,47.5
1916,57.2
1917,104
1918,80.7
1919,63.7
1920,37.7
1921,26.2
1922,14.3
1923,5.9
1924,16.8
1925,44.4
1926,64
1927,69.1
1928,77.9
1929,65
1930,35.8
1931,21.3
1932,11.2
1933,5.8
1934,8.8
1935,36.2
1936,79.8
1937,114.5
1938,109.7
1939,88.9
1940,67.9
1941,47.6
1942,30.7
1943,16.4
1944,9.7
1945,33.3
1946,92.7
1947,151.7
1948,136.4
1949,134.8
1950,84
1951,69.5
1952,31.6
1953,14
1954,4.5
1955,38.1
1956,141.8
1957,190.3
1958,184.9
1959,159.1
1960,112.4
1961,54
1962,37.7
1963,28
1964,10.3
1965,15.2
1966,47.1
1967,93.8
1968,106
1969,105.6
1970,104.6
1971,66.7
1972,69
1973,38.1
1974,34.6
1975,15.6
1976,12.7
1977,27.6
1978,92.6
1979,155.5
1980,154.7
1981,140.6
1982,116
1983,66.7
1984,46
1985,18
1986,13.5
1987,29.3
1988,100.3
1989,157.7
1990,142.7
1991,145.8
1992,94.4
1993,54.7
1994,30
1995,17.6
1996,8.7
1997,21.6
1998,64.4
1999,93.4
2000,119.7
2001,111.1
2002,104.1
2003,63.8
2004,40.5
