Month,Rate %
Jan-1963,6.8
Feb-1963,6.8
Mar-1963,6.2
Apr-1963,5.6
May-1963,5.4
Jun-1963,6.0
Jul-1963,5.4
Aug-1963,4.9
Sep-1963,4.3
Oct-1963,4.4
Nov-1963,4.9
Dec-1963,5.1
Jan-1964,6.2
Feb-1964,6.1
Mar-1964,5.7
Apr-1964,5.1
May-1964,4.7
Jun-1964,5.7
Jul-1964,4.7
Aug-1964,4.5
Sep-1964,4.0
Oct-1964,4.0
Nov-1964,4.0
Dec-1964,4.3
Jan-1965,5.3
Feb-1965,5.5
Mar-1965,4.9
Apr-1965,4.5
May-1965,4.1
Jun-1965,5.1
Jul-1965,4.2
Aug-1965,3.9
Sep-1965,3.4
Oct-1965,3.2
Nov-1965,3.3
Dec-1965,3.4
Jan-1966,4.1
Feb-1966,4.0
Mar-1966,3.8
Apr-1966,3.5
May-1966,3.4
Jun-1966,4.3
Jul-1966,3.7
Aug-1966,3.2
Sep-1966,2.9
Oct-1966,2.8
Nov-1966,3.0
Dec-1966,3.1
Jan-1967,3.8
Feb-1967,3.6
Mar-1967,3.5
Apr-1967,3.2
May-1967,3.0
Jun-1967,4.3
Jul-1967,3.7
Aug-1967,3.4
Sep-1967,3.1
Oct-1967,3.1
Nov-1967,3.0
Dec-1967,3.0
Jan-1968,3.7
Feb-1968,3.8
Mar-1968,3.4
Apr-1968,2.9
May-1968,2.7
Jun-1968,4.2
Jul-1968,3.7
Aug-1968,3.1
Sep-1968,2.7
Oct-1968,2.7
Nov-1968,2.6
Dec-1968,2.5
Jan-1969,3.3
Feb-1969,3.3
Mar-1969,3.1
Apr-1969,2.9
May-1969,2.7
Jun-1969,4.0
Jul-1969,3.6
Aug-1969,3.1
Sep-1969,3.0
Oct-1969,2.8
Nov-1969,2.7
Dec-1969,2.8
Jan-1970,3.8
Feb-1970,4.3
Mar-1970,4.2
Apr-1970,4.1
May-1970,4.2
Jun-1970,5.5
Jul-1970,5.1
Aug-1970,4.7
Sep-1970,4.5
Oct-1970,4.5
Nov-1970,4.9
Dec-1970,5.2
Jan-1971,6.1
Feb-1971,6.2
Mar-1971,5.9
Apr-1971,5.4
May-1971,5.2
Jun-1971,6.4
Jul-1971,6.0
Aug-1971,5.6
Sep-1971,5.1
Oct-1971,4.8
Nov-1971,5.1
Dec-1971,5.2
Jan-1972,6.1
Feb-1972,6.0
Mar-1972,5.8
Apr-1972,5.2
May-1972,5.1
Jun-1972,6.0
Jul-1972,5.7
Aug-1972,5.2
Sep-1972,4.6
Oct-1972,4.5
Nov-1972,4.2
Dec-1972,4.2
Jan-1973,5.1
Feb-1973,5.2
Mar-1973,4.9
Apr-1973,4.4
May-1973,4.2
Jun-1973,5.1
Jul-1973,4.7
Aug-1973,4.3
Sep-1973,3.9
Oct-1973,3.6
Nov-1973,4.0
Dec-1973,4.1
Jan-1974,5.2
Feb-1974,5.3
Mar-1974,5.0
Apr-1974,4.6
May-1974,4.5
Jun-1974,5.6
Jul-1974,5.4
Aug-1974,4.9
Sep-1974,4.9
Oct-1974,5.0
Nov-1974,5.7
Dec-1974,6.3
Jan-1975,8.7
Feb-1975,9.0
Mar-1975,9.1
Apr-1975,8.7
May-1975,8.6
Jun-1975,9.3
Jul-1975,8.7
Aug-1975,7.9
Sep-1975,7.6
Oct-1975,7.4
Nov-1975,7.5
