Date,Dollars
1/2/01,28.05
1/3/01,28.23
1/4/01,26.25
1/5/01,25.41
1/8/01,26.25
1/9/01,26.03
1/10/01,26.09
1/11/01,26.28
1/12/01,26.00
1/16/01,25.63
1/17/01,25.57
1/18/01,25.57
1/19/01,25.16
1/22/01,26.52
1/23/01,27.18
1/24/01,26.93
1/25/01,26.50
1/26/01,26.50
1/29/01,27.27
1/30/01,27.70
1/31/01,28.17
2/1/01,28.26
2/2/01,28.29
2/5/01,28.23
2/6/01,28.54
2/7/01,28.94
2/8/01,28.51
2/9/01,27.55
2/12/01,28.05
2/13/01,27.98
2/14/01,23.55
2/15/01,24.21
2/16/01,23.92
2/20/01,23.77
2/21/01,23.74
2/22/01,23.55
2/23/01,23.34
2/26/01,23.22
2/27/01,22.87
2/28/01,21.36
3/1/01,21.30
3/2/01,21.51
3/5/01,21.32
3/6/01,21.67
3/7/01,21.48
3/8/01,21.85
3/9/01,21.49
3/12/01,21.48
3/13/01,22.10
3/14/01,21.79
3/15/01,22.01
3/16/01,22.26
3/19/01,22.35
3/20/01,23.06
3/21/01,22.78
3/22/01,22.19
3/23/01,22.19
3/26/01,22.66
3/27/01,22.50
3/28/01,21.36
3/29/01,20.71
3/30/01,20.86
4/2/01,20.95
4/3/01,20.12
4/4/01,19.50
4/5/01,20.30
4/6/01,20.09
4/9/01,20.38
4/10/01,21.13
4/11/01,20.63
4/12/01,20.35
4/16/01,20.39
4/17/01,20.95
4/18/01,21.94
4/19/01,21.43
4/20/01,21.37
4/23/01,21.24
4/24/01,21.13
4/25/01,22.36
4/26/01,22.93
4/27/01,23.26
4/30/01,24.07
5/1/01,23.79
5/2/01,24.56
5/3/01,24.43
5/4/01,24.29
5/7/01,23.33
5/8/01,25.20
5/9/01,24.94
5/10/01,24.95
5/11/01,25.25
5/14/01,25.70
5/15/01,26.33
5/16/01,27.81
5/17/01,28.04
5/18/01,28.75
5/21/01,28.72
5/22/01,28.33
5/23/01,27.61
5/24/01,27.98
5/25/01,27.88
5/29/01,27.78
5/30/01,28.03
5/31/01,28.36
6/1/01,28.31
6/4/01,27.58
6/5/01,27.43
6/6/01,27.16
6/7/01,27.92
6/8/01,27.36
6/11/01,27.17
6/12/01,27.39
6/13/01,27.58
6/14/01,27.55
6/15/01,27.49
6/18/01,27.70
6/19/01,27.19
6/20/01,26.76
6/21/01,26.53
6/22/01,26.45
6/25/01,25.97
6/26/01,26.11
6/27/01,26.50
6/28/01,26.98
6/29/01,26.84
7/2/01,28.03
7/3/01,28.00
7/5/01,28.01
7/6/01,27.20
7/9/01,27.92
7/10/01,27.10
7/11/01,27.15
7/12/01,27.19
7/13/01,26.69
7/16/01,26.79
7/17/01,27.17
7/18/01,26.72
7/19/01,26.33
7/20/01,26.23
7/23/01,26.59
7/24/01,26.82
7/25/01,27.24
7/26/01,28.49
7/27/01,31.65
7/30/01,34.47
7/31/01,33.63
8/1/01,32.58
8/2/01,32.62
8/3/01,32.09
8/6/01,32.41
8/7/01,32.24
8/8/01,31.60
8/9/01,31.78
8/10/01,32.99
8/13/01,32.69
8/14/01,33.31
8/15/01,32.78
8/16/01,32.78
8/17/01,32.82
8/20/01,33.04
8/21/01,33.79
8/22/01,32.69
8/23/01,32.40
8/24/01,32.91
8/27/01,33.38
8/28/01,34.72
8/29/01,35.22
8/30/01,34.77
8/31/01,34.85
9/4/01,33.91
9/5/01,34.39
9/6/01,34.49
9/7/01,34.37
9/10/01,33.44
9/17/01,33.24
9/18/01,33.18
9/19/01,31.26
9/20/01,31.04
9/21/01,30.33
9/24/01,30.69
9/25/01,30.84
9/26/01,29.95
9/27/01,29.22
9/28/01,31.11
10/1/01,30.93
10/2/01,30.98
10/3/01,32.59
10/4/01,32.50
10/5/01,32.12
10/8/01,32.09
10/9/01,32.85
10/10/01,33.44
10/11/01,32.68
10/12/01,32.54
10/15/01,32.07
10/16/01,33.18
10/17/01,33.45
10/18/01,34.35
10/19/01,33.95
10/22/01,34.42
10/23/01,35.20
10/24/01,35.30
10/25/01,35.65
10/26/01,35.96
10/29/01,35.86
10/30/01,35.61
10/31/01,34.42
11/1/01,34.55
11/2/01,35.43
11/5/01,34.92
11/6/01,35.56
11/7/01,35.85
11/8/01,36.89
11/9/01,37.24
11/12/01,37.01
11/13/01,37.52
11/14/01,37.24
11/15/01,40.36
11/16/01,39.42
11/19/01,40.16
11/20/01,42.64
11/21/01,41.86
11/23/01,42.58
11/26/01,42.63
11/27/01,42.14
11/28/01,41.62
11/29/01,42.59
11/30/01,42.50
12/3/01,42.38
12/4/01,42.77
12/5/01,43.80
12/6/01,45.13
12/7/01,45.40
12/10/01,43.81
12/11/01,42.16
12/12/01,41.24
12/13/01,40.91
12/14/01,41.05
12/17/01,41.13
12/18/01,41.55
12/19/01,41.35
12/20/01,41.27
12/21/01,42.46
12/24/01,42.96
12/26/01,43.63
12/27/01,43.63
12/28/01,43.59
12/31/01,43.14
