"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","species"
"1",5.1,3.5,1.4,0.2,"setosa",FALSE
"2",4.9,3,1.4,0.2,"setosa",FALSE
"3",4.7,3.2,1.3,0.2,"setosa",FALSE
"4",4.6,3.1,1.5,0.2,"setosa",FALSE
"5",5,3.6,1.4,0.2,"setosa",FALSE
"6",5.4,3.9,1.7,0.4,"setosa",FALSE
"7",4.6,3.4,1.4,0.3,"setosa",FALSE
"8",5,3.4,1.5,0.2,"setosa",FALSE
"9",4.4,2.9,1.4,0.2,"setosa",FALSE
"10",4.9,3.1,1.5,0.1,"setosa",FALSE
"11",5.4,3.7,1.5,0.2,"setosa",FALSE
"12",4.8,3.4,1.6,0.2,"setosa",FALSE
"13",4.8,3,1.4,0.1,"setosa",FALSE
"14",4.3,3,1.1,0.1,"setosa",FALSE
"15",5.8,4,1.2,0.2,"setosa",FALSE
"16",5.7,4.4,1.5,0.4,"setosa",FALSE
"17",5.4,3.9,1.3,0.4,"setosa",FALSE
"18",5.1,3.5,1.4,0.3,"setosa",FALSE
"19",5.7,3.8,1.7,0.3,"setosa",FALSE
"20",5.1,3.8,1.5,0.3,"setosa",FALSE
"21",5.4,3.4,1.7,0.2,"setosa",FALSE
"22",5.1,3.7,1.5,0.4,"setosa",FALSE
"23",4.6,3.6,1,0.2,"setosa",FALSE
"24",5.1,3.3,1.7,0.5,"setosa",FALSE
"25",4.8,3.4,1.9,0.2,"setosa",FALSE
"26",5,3,1.6,0.2,"setosa",FALSE
"27",5,3.4,1.6,0.4,"setosa",FALSE
"28",5.2,3.5,1.5,0.2,"setosa",FALSE
"29",5.2,3.4,1.4,0.2,"setosa",FALSE
"30",4.7,3.2,1.6,0.2,"setosa",FALSE
"31",4.8,3.1,1.6,0.2,"setosa",FALSE
"32",5.4,3.4,1.5,0.4,"setosa",FALSE
"33",5.2,4.1,1.5,0.1,"setosa",FALSE
"34",5.5,4.2,1.4,0.2,"setosa",FALSE
"35",4.9,3.1,1.5,0.2,"setosa",FALSE
"36",5,3.2,1.2,0.2,"setosa",FALSE
"37",5.5,3.5,1.3,0.2,"setosa",FALSE
"38",4.9,3.6,1.4,0.1,"setosa",FALSE
"39",4.4,3,1.3,0.2,"setosa",FALSE
"40",5.1,3.4,1.5,0.2,"setosa",FALSE
"41",5,3.5,1.3,0.3,"setosa",FALSE
"42",4.5,2.3,1.3,0.3,"setosa",FALSE
"43",4.4,3.2,1.3,0.2,"setosa",FALSE
"44",5,3.5,1.6,0.6,"setosa",FALSE
"45",5.1,3.8,1.9,0.4,"setosa",FALSE
"46",4.8,3,1.4,0.3,"setosa",FALSE
"47",5.1,3.8,1.6,0.2,"setosa",FALSE
"48",4.6,3.2,1.4,0.2,"setosa",FALSE
"49",5.3,3.7,1.5,0.2,"setosa",FALSE
"50",5,3.3,1.4,0.2,"setosa",FALSE
"51",7,3.2,4.7,1.4,"versicolor",TRUE
"52",6.4,3.2,4.5,1.5,"versicolor",TRUE
"53",6.9,3.1,4.9,1.5,"versicolor",TRUE
"54",5.5,2.3,4,1.3,"versicolor",TRUE
"55",6.5,2.8,4.6,1.5,"versicolor",TRUE
"56",5.7,2.8,4.5,1.3,"versicolor",TRUE
"57",6.3,3.3,4.7,1.6,"versicolor",TRUE
"58",4.9,2.4,3.3,1,"versicolor",TRUE
"59",6.6,2.9,4.6,1.3,"versicolor",TRUE
"60",5.2,2.7,3.9,1.4,"versicolor",TRUE
"61",5,2,3.5,1,"versicolor",TRUE
"62",5.9,3,4.2,1.5,"versicolor",TRUE
"63",6,2.2,4,1,"versicolor",TRUE
"64",6.1,2.9,4.7,1.4,"versicolor",TRUE
"65",5.6,2.9,3.6,1.3,"versicolor",TRUE
"66",6.7,3.1,4.4,1.4,"versicolor",TRUE
